GSE_ID,GPL_ID,DATA_TYPE
GSE134124,GPL21179,RNASeq
GSE135957,GPL21785,RNASeq
GSE136164,GPL21785,RNASeq
GSE136164,GPL23157,RNASeq
GSE136164,GPL26208,RNASeq
GSE136362,GPL13222,RNASeq
GSE136367,GPL13222,RNASeq
GSE136635,GPL13222,RNASeq
GSE136356,GPL13222,RNASeq
GSE136680,GPL24025,RNASeq
GSE137004,GPL24025,RNASeq
GSE136847,GPL17639,RNASeq
GSE136847,GPL19580,RNASeq
GSE136901,GPL24025,RNASeq
GSE137009,GPL13222,RNASeq
GSE122394,GPL19580,RNASeq
GSE137625,GPL17970,RNASeq
GSE123818,GPL24270,RNASeq
GSE137732,GPL21785,RNASeq
GSE137887,GPL17639,RNASeq
GSE138203,GPL13222,RNASeq
GSE138478,GPL17639,RNASeq
GSE133408,GPL26208,RNASeq
GSE139165,GPL21179,RNASeq
GSE139201,GPL17639,RNASeq
GSE139458,GPL23157,RNASeq
GSE139503,GPL21179,RNASeq
GSE139637,GPL23157,RNASeq
GSE139638,GPL23157,RNASeq
GSE139917,GPL17639,RNASeq
GSE140037,GPL13222,RNASeq
GSE140070,GPL17639,RNASeq
GSE140137,GPL17639,RNASeq
GSE140140,GPL17639,RNASeq
GSE140138,GPL17639,RNASeq
GSE140139,GPL17639,RNASeq
GSE140726,GPL21179,RNASeq
GSE140728,GPL21179,RNASeq
GSE140834,GPL27792,RNASeq
GSE140918,GPL17639,RNASeq
GSE141145,GPL23157,RNASeq
GSE141304,GPL17639,RNASeq
GSE141442,GPL13222,RNASeq
GSE141942,GPL24025,RNASeq
GSE142032,GPL17639,RNASeq
GSE142272,GPL13222,RNASeq
GSE142537,GPL17639,RNASeq
GSE142555,GPL19580,RNASeq
GSE142369,GPL23157,RNASeq
GSE142622,GPL23157,RNASeq
GSE143520,GPL20696,RNASeq
GSE143746,GPL17639,RNASeq
GSE143760,GPL21785,RNASeq
GSE143762,GPL21785,RNASeq
GSE143833,GPL13222,RNASeq
GSE144182,GPL17639,RNASeq
