"GSE_ID","GPL_ID"
"GSE57787","GPL10558"
"GSE57795","GPL6884"
"GSE57803","GPL11154"
"GSE57804","GPL13112"
"GSE57813","GPL14951"
"GSE57821","GPL17303"
"GSE57823","GPL6887"
"GSE57826","GPL11154"
"GSE57837","GPL11002"
"GSE57838","GPL7202"
"GSE57840","GPL6244"
"GSE57841","GPL6244"
"GSE57846","GPL6096"
"GSE57849","GPL13112"
"GSE57856","GPL6244"
"GSE57858","GPL4135"
"GSE5786","GPL1261"
"GSE57861","GPL6480"
"GSE57863","GPL6884"
"GSE57866","GPL11154"
"GSE57867","GPL1261"
"GSE57875","GPL13112"
"GSE5788","GPL96"
"GSE57890","GPL6885"
"GSE57917","GPL1261"
"GSE57918","GPL1261"
"GSE57921","GPL16699"
"GSE57923","GPL6244"
"GSE57927","GPL10558"
"GSE57939","GPL6884"
"GSE57947","GPL6244"
"GSE57949","GPL10558"
"GSE57951","GPL1261"
"GSE57957","GPL10558"
"GSE57959","GPL13112"
"GSE5796","GPL887"
"GSE57961","GPL11154"
"GSE57964","GPL13607"
"GSE57968","GPL571"
"GSE57972","GPL7202"
"GSE57973","GPL11154"
"GSE57976","GPL7202"
"GSE57978","GPL6244"
"GSE57980","GPL13112"
"GSE57982","GPL11154"
"GSE57983","GPL14844"
"GSE57988","GPL6887"
"GSE57990","GPL14573"
"GSE57994","GPL16686"
"GSE57997","GPL6246"
"GSE5800","GPL1261"
"GSE58008","GPL11154"
"GSE58016","GPL13112"
"GSE58024","GPL570"
"GSE58025","GPL17021"
"GSE58026","GPL6244"
"GSE58032","GPL1261"
"GSE58033","GPL570"
"GSE58041","GPL13497"
"GSE58056","GPL6246"
"GSE58059","GPL13497"
"GSE58068","GPL18734"
"GSE58069","GPL18734"
"GSE58076","GPL18741"
"GSE58081","GPL13112"
"GSE58085","GPL1261"
"GSE58089","GPL17021"
"GSE5809","GPL570"
"GSE58096","GPL570"
"GSE58108","GPL19057"
"GSE58118","GPL4133"
"GSE58121","GPL14550"
"GSE58133","GPL570"
"GSE5814","GPL2029"
"GSE58140","GPL570"
"GSE58142","GPL570"
"GSE58145","GPL6887"
"GSE58147","GPL6887"
"GSE58150","GPL10999"
"GSE58152","GPL11202"
"GSE58156","GPL4135"
"GSE58158","GPL13912"
"GSE58168","GPL11154"
"GSE58174","GPL11002"
"GSE58178","GPL6947"
"GSE58187","GPL6246"
"GSE58188","GPL16570"
"GSE58191","GPL4134"
"GSE5820","GPL96"
"GSE58203","GPL15445"
"GSE58206","GPL13112"
"GSE58208","GPL570"
"GSE58209","GPL570"
"GSE5821","GPL96"
"GSE58211","GPL18761"
"GSE58214","GPL1261"
"GSE5822","GPL96"
"GSE58220","GPL16686"
"GSE58239","GPL13112"
"GSE58241","GPL16699"
