GSE_ID,GPL_ID
GSE27390,GPL570
GSE27391,GPL1261
GSE27393,GPL1355
GSE27410,GPL4134
GSE27414,GPL570
GSE27420,GPL6244
GSE27424,GPL570
GSE27431,GPL570
GSE27434,GPL8321
GSE27438,GPL6102
GSE27444,GPL570
GSE27447,GPL6244
GSE27449,GPL6247
GSE27451,GPL1261
GSE27467,GPL6947
GSE27473,GPL570
GSE27494,GPL1352
GSE27503,GPL4133
GSE27505,GPL570
GSE27520,GPL6884
GSE27522,GPL7202
GSE27523,GPL5175
GSE27526,GPL10999
GSE27527,GPL1261
GSE27529,GPL570
GSE27543,GPL201
GSE27544,GPL13158
GSE27545,GPL6947
GSE27555,GPL6480
GSE27597,GPL13243
GSE27615,GPL6244
GSE27616,GPL4133
GSE27619,GPL4126
GSE27631,GPL570
GSE27638,GPL6101
GSE27651,GPL570
GSE27654,GPL96
GSE27656,GPL1261
GSE27657,GPL570
GSE27666,GPL6947
GSE27667,GPL6244
GSE27670,GPL570
GSE27672,GPL6246
GSE27676,GPL96
GSE27678,GPL570
GSE27682,GPL6102
GSE27685,GPL6246
GSE27689,GPL6887
GSE27692,GPL570
GSE27701,GPL6246
GSE27702,GPL571
GSE27711,GPL4055
GSE27713,GPL1261
GSE27714,GPL4134
GSE2772,GPL81
GSE27720,GPL1261
GSE27723,GPL6480
GSE2773,GPL339
GSE27785,GPL1261
GSE27794,GPL1261
GSE27799,GPL1261
GSE27828,GPL5175
GSE27830,GPL570
GSE27831,GPL570
GSE27834,GPL6104
GSE27838,GPL570
GSE27843,GPL9250
GSE27847,GPL6246
GSE27850,GPL570
GSE27868,GPL6246
GSE27873,GPL1261
GSE27880,GPL13252
GSE27882,GPL6480
GSE27887,GPL570
GSE27896,GPL8321
GSE27900,GPL4133
GSE27904,GPL6943
GSE27915,GPL4133
GSE27928,GPL570
GSE27938,GPL6246
GSE27939,GPL6246
GSE27953,GPL5175
GSE27956,GPL4135
GSE27966,GPL570
GSE27972,GPL1261
GSE27973,GPL570
GSE27975,GPL1261
GSE27976,GPL6244
GSE27984,GPL6848
GSE27990,GPL13287
GSE27999,GPL1261
GSE28009,GPL6480
GSE28016,GPL5175
GSE28017,GPL6096
GSE28031,GPL1261
GSE28033,GPL13301
GSE28037,GPL6246
GSE28043,GPL6246
GSE28044,GPL570
GSE28046,GPL6883
