gse_id,gpl_id,repo_id
GSE184987,GPL21103,17
GSE184879,GPL19057,17
GSE183343,GPL19057,17
GSE183267,GPL20301,17
GSE183266,GPL20301,17
GSE182816,GPL20301,17
GSE182816,GPL20301,17
GSE182816,GPL18573,17
GSE182436,GPL20301,17
GSE182436,GPL24676,17
GSE182436,GPL20301,17
GSE182436,GPL24676,17
GSE182434,GPL20301,17
GSE182434,GPL24676,17
GSE181929,GPL21103,17
GSE181929,GPL21103,17
GSE181928,GPL21103,17
GSE180138,GPL21626,17
GSE179361,GPL20795,17
GSE172380,GPL24247,17
GSE168222,GPL13112,17
GSE168222,GPL13112,17
GSE168220,GPL13112,17
GSE161310,GPL19057,17
GSE153846,GPL19057,17
GSE153845,GPL21103,17
GSE153190,GPL19057,17
GSE145654,GPL24247,17
GSE133648,GPL24247,17
GSE133648,GPL24247,17
GSE133648,GPL24247,17
