gse_id,gpl_id,repo_id
GSE199796,GPL20301,17
GSE199755,GPL19057,17
GSE199654,GPL24676,17
GSE199352,GPL24247,17
GSE184036,GPL18573,17
GSE184036,GPL19057,17
GSE184036,GPL19057,17
GSE184036,GPL30172,17
GSE184036,GPL19057,17
GSE184036,GPL20828,17
GSE184036,GPL30614,17
GSE184036,GPL18573,17
GSE184034,GPL19057,17
GSE184033,GPL19057,17
GSE184033,GPL30172,17
GSE183853,GPL24676,17
GSE180902,GPL21626,17
GSE180902,GPL21626,17
GSE180902,GPL17021,17
GSE180900,GPL21626,17
GSE173647,GPL24676,17
GSE172362,GPL21103,17
GSE172362,GPL21697,17
GSE172361,GPL21697,17
GSE167492,GPL24676,17
GSE167490,GPL24676,17
GSE166792,GPL19057,17
GSE153184,GPL24247,17
GSE149751,GPL24247,17
