gse_id,gpl_id,repo_id
GSE189955,GPL20301,17
GSE189780,GPL18480,17
GSE189770,GPL24676,17
GSE189710,GPL21103,17
GSE185688,GPL20301,17
GSE185688,GPL24676,17
GSE185687,GPL20301,17
GSE185687,GPL24676,17
GSE182633,GPL24247,17
GSE182422,GPL25947,17
GSE181862,GPL24676,17
GSE181306,GPL21103,17
GSE179165,GPL24247,17
GSE178485,GPL24247,17
GSE175312,GPL13112,17
GSE174188,GPL24676,17
GSE173146,GPL24676,17
GSE166935,GPL20795,17
GSE166470,GPL21697,17
GSE161771,GPL19057,17
GSE159704,GPL21103,17
GSE157561,GPL21103,17
GSE154624,GPL19057,17
GSE153383,GPL19057,17
GSE153383,GPL21103,17
GSE153383,GPL24247,17
