gse_id,gpl_id,repo_id
GSE205020,GPL21103,17
GSE202210,GPL24676,17
GSE200515,GPL19057,17
GSE200445,GPL24247,17
GSE200139,GPL24247,17
GSE197761,GPL21103,17
GSE196928,GPL21103,17
GSE190909,GPL13112,17
GSE190791,GPL13112,17
GSE188545,GPL24676,17
GSE188222,GPL24676,17
GSE186910,GPL24247,17
GSE186909,GPL24247,17
GSE185711,GPL19057,17
GSE185711,GPL24247,17
GSE185710,GPL24247,17
GSE185696,GPL19057,17
GSE183368,GPL19057,17
GSE182861,GPL24676,17
GSE182389,GPL16791,17
GSE182389,GPL19057,17
GSE182389,GPL15076,17
GSE182388,GPL19057,17
GSE182387,GPL16791,17
GSE181174,GPL20301,17
GSE180682,GPL13112,17
GSE180682,GPL17021,17
GSE176423,GPL24247,17
GSE176386,GPL18573,17
GSE173645,GPL24247,17
GSE166366,GPL24247,17
GSE164493,GPL20301,17
GSE128938,GPL20301,17
GSE128937,GPL20301,17
