gse_id,gpl_id,repo_id
GSE179253,GPL13112,17
GSE179249,GPL21697,17
GSE177482,GPL16791,17
GSE176456,GPL17021,17
GSE174430,GPL28457,17
GSE174194,GPL24247,17
GSE173204,GPL24247,17
GSE172374,GPL17021,17
GSE172331,GPL17021,17
GSE172330,GPL13112,17
GSE168989,GPL21103,17
GSE165404,GPL24247,17
GSE165404,GPL24676,17
GSE165277,GPL21626,17
GSE165045,GPL20301,17
GSE164891,GPL24676,17
GSE157819,GPL16417,17
GSE157819,GPL24247,17
GSE157645,GPL24247,17
GSE157329,GPL20795,17
GSE157329,GPL24676,17
GSE149114,GPL21103,17
GSE149112,GPL21103,17
GSE144983,GPL20301,17
GSE137090,GPL24676,17
GSE131933,GPL24676,17
