gse_id,gpl_id,repo_id
GSE186306,GPL24247,17
GSE186305,GPL19057,17
GSE186305,GPL24247,17
GSE183404,GPL24247,17
GSE164690,GPL18573,17
GSE161787,GPL21103,17
GSE161676,GPL19057,17
GSE161676,GPL19424,17
GSE161676,GPL24247,17
GSE161676,GPL19057,17
GSE161676,GPL19057,17
GSE161676,GPL19057,17
GSE161676,GPL19057,17
GSE161676,GPL19057,17
GSE161676,GPL19057,17
GSE161676,GPL19057,17
GSE161676,GPL19057,17
GSE161676,GPL19057,17
GSE161676,GPL24247,17
GSE161676,GPL24247,17
GSE161676,GPL19057,17
GSE161673,GPL19057,17
GSE161666,GPL19057,17
GSE161658,GPL24247,17
GSE159687,GPL19057,17
