gse_id,gpl_id,repo_id
GSE207993,GPL24676,17
GSE207749,GPL18573,17
GSE207708,GPL21103,17
GSE206450,GPL21273,17
GSE206450,GPL24247,17
GSE206450,GPL21103,17
GSE197661,GPL21103,17
GSE195964,GPL24247,17
GSE195964,GPL24676,17
GSE190230,GPL21103,17
GSE186388,GPL24247,17
GSE186387,GPL24247,17
GSE186386,GPL24247,17
GSE184776,GPL24247,17
GSE184776,GPL28457,17
GSE184776,GPL17021,17
GSE184776,GPL21103,17
GSE184776,GPL24247,17
GSE184776,GPL21103,17
GSE184776,GPL24247,17
GSE184776,GPL24247,17
GSE184776,GPL28457,17
GSE184776,GPL24247,17
GSE184772,GPL17021,17
GSE184772,GPL21103,17
GSE184772,GPL24247,17
GSE180416,GPL19057,17
GSE180149,GPL24247,17
GSE180149,GPL24676,17
GSE180149,GPL24247,17
GSE180140,GPL24247,17
GSE180139,GPL24247,17
GSE180139,GPL24676,17
GSE156953,GPL19057,17
GSE156953,GPL24247,17
GSE156953,GPL19057,17
GSE156953,GPL19057,17
GSE156952,GPL19057,17
