gse_id,gpl_id,repo_id
GSE166797,GPL24676,1610017790779
GSE165846,GPL16417,1610017790779
GSE164157,GPL24676,1610017790779
GSE162621,GPL21103,1610017790779
GSE161267,GPL24676,1610017790779
GSE161267,GPL24676,1610017790779
GSE161266,GPL24676,1610017790779
GSE160137,GPL24247,1610017790779
GSE160136,GPL24247,1610017790779
GSE159344,GPL17021,1610017790779
GSE153319,GPL21697,1610017790779
GSE153274,GPL24247,1610017790779
GSE145700,GPL20795,1610017790779
GSE144744,GPL18573,1610017790779
GSE143806,GPL21103,1610017790779
