gse_id,gpl_id,repo_id
GSE182308,GPL24676,17
GSE182307,GPL20301,17
GSE182270,GPL11154,17
GSE178121,GPL24247,17
GSE175716,GPL20795,17
GSE175716,GPL24247,17
GSE173865,GPL18480,17
GSE172455,GPL21103,17
GSE164476,GPL9250,17
GSE164476,GPL17021,17
GSE164476,GPL24247,17
GSE162708,GPL24676,17
GSE160801,GPL18573,17
GSE160801,GPL18573,17
GSE160801,GPL18573,17
GSE160800,GPL18573,17
GSE160799,GPL18573,17
GSE160798,GPL18573,17
GSE156196,GPL21103,17
GSE150513,GPL24247,17
GSE144945,GPL16791,17
GSE118020,GPL17021,17
