gse_id,gpl_id,repo_id
GSE193954,GPL19057,17
GSE192874,GPL20795,17
GSE186498,GPL19057,17
GSE185995,GPL18573,17
GSE185995,GPL24676,17
GSE180954,GPL24676,17
GSE179365,GPL24247,17
GSE179365,GPL24247,17
GSE179365,GPL24247,17
GSE179365,GPL24247,17
GSE179365,GPL24247,17
GSE179364,GPL24247,17
GSE179363,GPL24247,17
GSE179362,GPL24247,17
GSE179360,GPL24247,17
GSE179359,GPL24247,17
GSE162724,GPL24247,17
GSE162724,GPL24247,17
GSE162724,GPL24247,17
GSE162724,GPL24247,17
GSE162724,GPL24247,17
GSE162587,GPL24247,17
