gse_id,gpl_id,repo_id
GSE166471,GPL20301,1610017790779
GSE165551,GPL24247,1610017790779
GSE165554,GPL24247,1610017790779
GSE163484,GPL24247,1610017790779
GSE126815,GPL24247,1610017790779
GSE164110,GPL17021,1610017790779
GSE164108,GPL24247,1610017790779
GSE158722,GPL16791,1610017790779
GSE158722,GPL24676,1610017790779
GSE158037,GPL18573,1610017790779
GSE158036,GPL18573,1610017790779
GSE158034,GPL18573,1610017790779
GSE158030,GPL18573,1610017790779
GSE166309,GPL19057,1610017790779
GSE166308,GPL19057,1610017790779
GSE166304,GPL18635,1610017790779
GSE160251,GPL18573,1610017790779
GSE154932,GPL24676,1610017790779
GSE153720,GPL13112,1610017790779
GSE153720,GPL17021,1610017790779
GSE148063,GPL17021,1610017790779
GSE138891,GPL24247,1610017790779
GSE166300,GPL21103,1610017790779
GSE166298,GPL19057,1610017790779
GSE166293,GPL24676,1610017790779
GSE166293,GPL15520,1610017790779
GSE151530,GPL24676,1610017790779
GSE151530,GPL18573,1610017790779
GSE151530,GPL20301,1610017790779
GSE166261,GPL24247,1610017790779
GSE161340,GPL17021,1610017790779
GSE166223,GPL19057,1610017790779
GSE166197,GPL13112,1610017790779
GSE166187,GPL18635,1610017790779
GSE166181,GPL21697,1610017790779
GSE166176,GPL19057,1610017790779
GSE166176,GPL24247,1610017790779
GSE166012,GPL13112,1610017790779
GSE166014,GPL17021,1610017790779
GSE161132,GPL24247,1610017790779
GSE156214,GPL19057,1610017790779
GSE147581,GPL21103,1610017790779
GSE135337,GPL24676,1610017790779
GSE166133,GPL17021,1610017790779
GSE166092,GPL21103,1610017790779
GSE166065,GPL21273,1610017790779
GSE164092,GPL24676,1610017790779
GSE164092,GPL29549,1610017790779
GSE158055,GPL28038,1610017790779
GSE158055,GPL24676,1610017790779
GSE154763,GPL28896,1610017790779
GSE161758,GPL21103,1610017790779
GSE156972,GPL20301,1610017790779
GSE165917,GPL19057,1610017790779
GSE160090,GPL24247,1610017790779
GSE157640,GPL20301,1610017790779
GSE155536,GPL21103,1610017790779
GSE147795,GPL16791,1610017790779
GSE147729,GPL19057,1610017790779
GSE142039,GPL17021,1610017790779
GSE164895,GPL19057,1610017790779
GSE162238,GPL19057,1610017790779
GSE158960,GPL21103,1610017790779
GSE156438,GPL24247,1610017790779
GSE151611,GPL21103,1610017790779
GSE151309,GPL24247,1610017790779
GSE150369,GPL21626,1610017790779
GSE137295,GPL20301,1610017790779
GSE115235,GPL18573,1610017790779
GSE165306,GPL21697,1610017790779
GSE165306,GPL21626,1610017790779
GSE164996,GPL20301,1610017790779
GSE163856,GPL19057,1610017790779
GSE163856,GPL17021,1610017790779
GSE163856,GPL21103,1610017790779
GSE163602,GPL16791,1610017790779
GSE163493,GPL18573,1610017790779
GSE163282,GPL24676,1610017790779
GSE162053,GPL29439,1610017790779
GSE162053,GPL24106,1610017790779
GSE162053,GPL26167,1610017790779
GSE162045,GPL20301,1610017790779
GSE162045,GPL18573,1610017790779
GSE160991,GPL19057,1610017790779
GSE160563,GPL11154,1610017790779
GSE156031,GPL19057,1610017790779
GSE154000,GPL21103,1610017790779
GSE150414,GPL19057,1610017790779
GSE165824,GPL18573,1610017790779
GSE163323,GPL24676,1610017790779
GSE163323,GPL21697,1610017790779
GSE162499,GPL24676,1610017790779
GSE162499,GPL15520,1610017790779
GSE162498,GPL16791,1610017790779
GSE162498,GPL24676,1610017790779
GSE161934,GPL24676,1610017790779
GSE160450,GPL13112,1610017790779
GSE152915,GPL18573,1610017790779
GSE165641,GPL21273,1610017790779
GSE161751,GPL21103,1610017790779
GSE156745,GPL19057,1610017790779
GSE138867,GPL24676,1610017790779
GSE165539,GPL24247,1610017790779
GSE161290,GPL24247,1610017790779
GSE161195,GPL18573,1610017790779
GSE161195,GPL24676,1610017790779
GSE157344,GPL18573,1610017790779
GSE155928,GPL24247,1610017790779
GSE154910,GPL21103,1610017790779
GSE154906,GPL16791,1610017790779
GSE153737,GPL24247,1610017790779
GSE144306,GPL17021,1610017790779
GSE144306,GPL19057,1610017790779
GSE144174,GPL19057,1610017790779
GSE144174,GPL24247,1610017790779
GSE144173,GPL19057,1610017790779
GSE144172,GPL19057,1610017790779
GSE165582,GPL19057,1610017790779
GSE165477,GPL24676,1610017790779
GSE165459,GPL21626,1610017790779
GSE165457,GPL21103,1610017790779
GSE165456,GPL21626,1610017790779
GSE165440,GPL24247,1610017790779
GSE165431,GPL17021,1610017790779
GSE162075,GPL13112,1610017790779
GSE151974,GPL19057,1610017790779
GSE165396,GPL24676,1610017790779
GSE159161,GPL21103,1610017790779
GSE156201,GPL17021,1610017790779
GSE146115,GPL20795,1610017790779
GSE138433,GPL18573,1610017790779
GSE148071,GPL20795,1610017790779
GSE143753,GPL20795,1610017790779
GSE165318,GPL21493,1610017790779
GSE165300,GPL19057,1610017790779
GSE165300,GPL24247,1610017790779
GSE165291,GPL29636,1610017790779
GSE165291,GPL29637,1610017790779
GSE165266,GPL24676,1610017790779
GSE163668,GPL24676,1610017790779
GSE158432,GPL21290,1610017790779
GSE145809,GPL20301,1610017790779
GSE165157,GPL21273,1610017790779
GSE165141,GPL19057,1610017790779
GSE165092,GPL24247,1610017790779
GSE165075,GPL18573,1610017790779
GSE162263,GPL19057,1610017790779
GSE158153,GPL24247,1610017790779
GSE122784,GPL19057,1610017790779
GSE120112,GPL21493,1610017790779
GSE165037,GPL20301,1610017790779
GSE164498,GPL18573,1610017790779
GSE160797,GPL21493,1610017790779
GSE159156,GPL24247,1610017790779
GSE156596,GPL24676,1610017790779
GSE147358,GPL19057,1610017790779
GSE147356,GPL18573,1610017790779
GSE144635,GPL19057,1610017790779
GSE164990,GPL19057,1610017790779
GSE161617,GPL16791,1610017790779
GSE160585,GPL24247,1610017790779
GSE156633,GPL24247,1610017790779
GSE158700,GPL19057,1610017790779
GSE158700,GPL18573,1610017790779
GSE164897,GPL21697,1610017790779
GSE164896,GPL21103,1610017790779
GSE148367,GPL24676,1610017790779
GSE164378,GPL24676,1610017790779
GSE163781,GPL25431,1610017790779
GSE163781,GPL25526,1610017790779
GSE163781,GPL24625,1610017790779
GSE163785,GPL24625,1610017790779
GSE163787,GPL20301,1610017790779
GSE163787,GPL21103,1610017790779
GSE163788,GPL24625,1610017790779
GSE163792,GPL24625,1610017790779
GSE163028,GPL18573,1610017790779
GSE161345,GPL21626,1610017790779
GSE161255,GPL18573,1610017790779
GSE161255,GPL24676,1610017790779
GSE157278,GPL24676,1610017790779
GSE157204,GPL20084,1610017790779
GSE125077,GPL17021,1610017790779
GSE163834,GPL19057,1610017790779
GSE163750,GPL18573,1610017790779
GSE163367,GPL20301,1610017790779
GSE162933,GPL20301,1610017790779
GSE160473,GPL20301,1610017790779
GSE153515,GPL24676,1610017790779
GSE147821,GPL24676,1610017790779
GSE147031,GPL19057,1610017790779
GSE144750,GPL24247,1610017790779
GSE138143,GPL24247,1610017790779
GSE115953,GPL13112,1610017790779
GSE164638,GPL19057,1610017790779
GSE164153,GPL24247,1610017790779
GSE164153,GPL23479,1610017790779
GSE163572,GPL21103,1610017790779
GSE158520,GPL21626,1610017790779
GSE159251,GPL20301,1610017790779
GSE164621,GPL24247,1610017790779
GSE164614,GPL24676,1610017790779
GSE164610,GPL13112,1610017790779
GSE164595,GPL20301,1610017790779
GSE164547,GPL20795,1610017790779
GSE155488,GPL20301,1610017790779
GSE136714,GPL13112,1610017790779
GSE129857,GPL21103,1610017790779
GSE164551,GPL20795,1610017790779
GSE164388,GPL19057,1610017790779
GSE162115,GPL20795,1610017790779
GSE153045,GPL19057,1610017790779
GSE150825,GPL24676,1610017790779
GSE147520,GPL24676,1610017790779
GSE143868,GPL18573,1610017790779
GSE164489,GPL19057,1610017790779
GSE143960,GPL19057,1610017790779
GSE164386,GPL18573,1610017790779
GSE164291,GPL21103,1610017790779
GSE164291,GPL24676,1610017790779
GSE160729,GPL24247,1610017790779
GSE158457,GPL20301,1610017790779
GSE146292,GPL17021,1610017790779
GSE146292,GPL19057,1610017790779
GSE146292,GPL21626,1610017790779
GSE159030,GPL17021,1610017790779
GSE164131,GPL20301,1610017790779
GSE157679,GPL17021,1610017790779
GSE156905,GPL17021,1610017790779
GSE156905,GPL16791,1610017790779
GSE156851,GPL20301,1610017790779
GSE156841,GPL24676,1610017790779
GSE156262,GPL24676,1610017790779
GSE156259,GPL24676,1610017790779
GSE156154,GPL18573,1610017790779
GSE153599,GPL19057,1610017790779
GSE153421,GPL20795,1610017790779
GSE140010,GPL21626,1610017790779
GSE132122,GPL19057,1610017790779
GSE164044,GPL24247,1610017790779
GSE164033,GPL21273,1610017790779
GSE164026,GPL16791,1610017790779
GSE161604,GPL21103,1610017790779
GSE161336,GPL24247,1610017790779
GSE158380,GPL21493,1610017790779
GSE156657,GPL20301,1610017790779
GSE156657,GPL16791,1610017790779
GSE147722,GPL24247,1610017790779
GSE134688,GPL17021,1610017790779
GSE134690,GPL17021,1610017790779
GSE106856,GPL17021,1610017790779
GSE160487,GPL17021,1610017790779
GSE147913,GPL21103,1610017790779
GSE143317,GPL24676,1610017790779
GSE163919,GPL24676,1610017790779
GSE162308,GPL19057,1610017790779
GSE128987,GPL24247,1610017790779
GSE156180,GPL13112,1610017790779
GSE163764,GPL19057,1610017790779
GSE163744,GPL18573,1610017790779
GSE162086,GPL24676,1610017790779
GSE155436,GPL21626,1610017790779
GSE153862,GPL13112,1610017790779
GSE163650,GPL20301,1610017790779
GSE158923,GPL20301,1610017790779
GSE158924,GPL20301,1610017790779
