gse_id,gpl_id,repo_id
GSE159345,GPL19057,1610017790779
GSE144568,GPL16791,1610017790779
GSE146026,GPL18573,1610017790779
GSE131351,GPL19415,1610017790779
GSE148477,GPL24247,1610017790779
GSE131434,GPL16791,1610017790779
GSE133542,GPL24142,1610017790779
GSE133757,GPL11154,1610017790779
GSE138680,GPL24676,1610017790779
GSE130355,GPL21103,1610017790779
GSE112438,GPL18573,1610017790779
GSE137275,GPL21697,1610017790779
GSE136580,GPL19057,1610017790779
GSE135801,GPL19057,1610017790779
GSE135801,GPL17021,1610017790779
GSE121650,GPL19057,1610017790779
GSE108359,GPL13112,1610017790779
GSE137349,GPL18573,1610017790779
GSE137349,GPL19057,1610017790779
GSE132045,GPL24247,1610017790779
GSE130979,GPL21493,1610017790779
GSE137786,GPL21103,1610017790779
GSE132067,GPL17021,1610017790779
GSE114412,GPL16791,1610017790779
GSE108463,GPL17021,1610017790779
GSE103221,GPL21273,1610017790779
GSE109037,GPL18573,1610017790779
GSE109822,GPL11154,1610017790779
GSE98664,GPL17021,1610017790779
GSE104276,GPL20301,1610017790779
