gse_id,gpl_id,repo_id
GSE143686,GPL16791,1610017790779
GSE147794,GPL21290,1610017790779
GSE143437,GPL19057,1610017790779
GSE136103,GPL20301,1610017790779
GSE136103,GPL21103,1610017790779
GSE134520,GPL20795,1610017790779
GSE126321,GPL24676,1610017790779
GSE128423,GPL19057,1610017790779
GSE125620,GPL19057,1610017790779
GSE114278,GPL17021,1610017790779
GSE111839,GPL17021,1610017790779
GSE114297,GPL18573,1610017790779
GSE113660,GPL20301,1610017790779
GSE113196,GPL20301,1610017790779
GSE109989,GPL19057,1610017790779
