gse_id,gpl_id,repo_id
GSE156214,GPL19057,1610017790779
GSE165141,GPL19057,1610017790779
GSE164638,GPL19057,1610017790779
GSE160487,GPL17021,1610017790779
GSE161947,GPL21626,1610017790779
GSE152469,GPL21697,1610017790779
GSE123722,GPL16791,1610017790779
GSE148237,GPL19057,1610017790779
GSE144320,GPL24676,1610017790779
GSE160527,GPL17021,1610017790779
GSE157299,GPL21626,1610017790779
GSE157299,GPL21697,1610017790779
GSE137986,GPL21103,1610017790779
GSE157277,GPL20301,1610017790779
GSE125527,GPL20301,1610017790779
GSE153627,GPL17021,1610017790779
GSE152981,GPL18573,1610017790779
GSE152370,GPL19057,1610017790779
GSE152369,GPL19057,1610017790779
GSE139042,GPL18573,1610017790779
GSE131847,GPL21103,1610017790779
GSE148162,GPL21697,1610017790779
GSE134242,GPL19057,1610017790779
GSE146983,GPL19057,1610017790779
GSE144434,GPL24676,1610017790779
GSE136455,GPL19057,1610017790779
GSE111672,GPL18573,1610017790779
GSE137710,GPL24676,1610017790779
GSE137805,GPL18573,1610017790779
GSE121671,GPL19057,1610017790779
GSE134163,GPL19057,1610017790779
GSE114412,GPL18573,1610017790779
GSE108222,GPL17021,1610017790779
GSE123046,GPL24247,1610017790779
GSE127465,GPL19057,1610017790779
GSE127465,GPL18573,1610017790779
GSE129150,GPL19057,1610017790779
GSE128393,GPL19057,1610017790779
GSE118828,GPL18573,1610017790779
GSE107771,GPL16791,1610017790779
GSE102580,GPL19057,1610017790779
GSE102580,GPL18573,1610017790779
GSE114397,GPL16791,1610017790779
GSE89754,GPL13112,1610017790779
GSE89754,GPL19057,1610017790779
GSE108761,GPL19057,1610017790779
GSE90742,GPL19057,1610017790779
GSE84133,GPL17021,1610017790779
GSE84133,GPL16791,1610017790779
