gse_id,gpl_id,repo_id
GSE151309,GPL24247,1610017790779
GSE163781,GPL25526,1610017790779
GSE147821,GPL24676,1610017790779
GSE162807,GPL24247,1610017790779
GSE159491,GPL20795,1610017790779
GSE145689,GPL21103,1610017790779
GSE162025,GPL20795,1610017790779
GSE161227,GPL21103,1610017790779
GSE161224,GPL21103,1610017790779
GSE150871,GPL17021,1610017790779
GSE130756,GPL20795,1610017790779
GSE143783,GPL11154,1610017790779
GSE152325,GPL21103,1610017790779
GSE128761,GPL21493,1610017790779
GSE144273,GPL21103,1610017790779
GSE132355,GPL19057,1610017790779
GSE142797,GPL24247,1610017790779
GSE153802,GPL20795,1610017790779
GSE135621,GPL21103,1610017790779
GSE145866,GPL24247,1610017790779
GSE149535,GPL24247,1610017790779
GSE140819,GPL20795,1610017790779
GSE126067,GPL19057,1610017790779
GSE131907,GPL16791,1610017790779
GSE146194,GPL24676,1610017790779
GSE134355,GPL20795,1610017790779
GSE141856,GPL24247,1610017790779
GSE139555,GPL20301,1610017790779
GSE135701,GPL19057,1610017790779
GSE121600,GPL19057,1610017790779
GSE121600,GPL18573,1610017790779
GSE128169,GPL18573,1610017790779
GSE121469,GPL17021,1610017790779
GSE115943,GPL21273,1610017790779
