gse_id,gpl_id,repo_id
GSE164430,GPL25526,1610017790779
GSE164430,GPL19969,1610017790779
GSE164393,GPL20301,1610017790779
GSE146397,GPL21103,1610017790779
GSE146397,GPL24247,1610017790779
GSE162509,GPL24676,1610017790779
GSE164203,GPL21103,1610017790779
GSE147360,GPL13112,1610017790779
GSE147360,GPL19057,1610017790779
GSE146264,GPL20301,1610017790779
GSE158328,GPL18573,1610017790779
GSE158702,GPL24676,1610017790779
GSE158702,GPL18573,1610017790779
GSE158702,GPL15520,1610017790779
GSE152574,GPL19057,1610017790779
GSE150989,GPL24247,1610017790779
GSE148660,GPL19057,1610017790779
GSE164106,GPL24247,1610017790779
GSE161895,GPL18573,1610017790779
GSE161896,GPL18573,1610017790779
GSE155113,GPL20795,1610017790779
GSE154772,GPL13112,1610017790779
GSE154386,GPL24676,1610017790779
GSE150344,GPL17021,1610017790779
GSE138689,GPL21273,1610017790779
GSE132745,GPL24247,1610017790779
GSE161621,GPL24247,1610017790779
GSE161621,GPL21626,1610017790779
GSE160810,GPL20301,1610017790779
GSE160811,GPL16686,1610017790779
GSE160054,GPL19057,1610017790779
GSE160053,GPL21103,1610017790779
GSE158291,GPL24676,1610017790779
GSE149949,GPL17021,1610017790779
GSE143366,GPL24676,1610017790779
GSE134738,GPL19057,1610017790779
GSE132803,GPL21273,1610017790779
GSE164015,GPL24676,1610017790779
GSE163974,GPL16791,1610017790779
GSE134339,GPL13112,1610017790779
GSE150580,GPL21273,1610017790779
GSE108612,GPL17021,1610017790779
GSE155966,GPL19057,1610017790779
GSE163830,GPL18573,1610017790779
GSE163762,GPL17021,1610017790779
GSE141383,GPL18573,1610017790779
GSE132105,GPL20795,1610017790779
GSE163678,GPL24676,1610017790779
GSE135060,GPL19057,1610017790779
GSE135060,GPL17021,1610017790779
GSE146007,GPL13112,1610017790779
GSE111893,GPL20301,1610017790779
GSE160244,GPL18573,1610017790779
GSE149214,GPL18573,1610017790779
GSE148466,GPL18573,1610017790779
GSE134842,GPL18573,1610017790779
GSE153701,GPL24247,1610017790779
GSE150202,GPL24676,1610017790779
GSE162806,GPL20301,1610017790779
GSE162806,GPL21103,1610017790779
GSE160673,GPL20795,1610017790779
GSE163194,GPL20795,1610017790779
GSE163120,GPL20301,1610017790779
GSE163120,GPL21103,1610017790779
GSE163120,GPL24247,1610017790779
GSE159354,GPL20301,1610017790779
GSE123722,GPL16791,1610017790779
GSE163121,GPL20301,1610017790779
GSE154854,GPL17021,1610017790779
GSE150050,GPL11154,1610017790779
GSE150050,GPL24676,1610017790779
GSE150050,GPL16791,1610017790779
GSE137871,GPL16791,1610017790779
GSE137872,GPL16791,1610017790779
GSE137873,GPL16791,1610017790779
GSE137874,GPL16791,1610017790779
GSE137875,GPL16791,1610017790779
GSE163089,GPL22245,1610017790779
GSE163089,GPL17021,1610017790779
GSE161363,GPL16791,1610017790779
GSE161363,GPL20301,1610017790779
GSE161363,GPL24676,1610017790779
GSE163029,GPL24247,1610017790779
GSE163018,GPL24676,1610017790779
GSE163014,GPL24676,1610017790779
GSE153697,GPL18573,1610017790779
GSE146773,GPL11154,1610017790779
GSE127997,GPL19057,1610017790779
GSE140182,GPL16791,1610017790779
GSE138302,GPL16791,1610017790779
GSE153479,GPL19057,1610017790779
GSE153480,GPL19057,1610017790779
GSE162807,GPL20301,1610017790779
GSE162807,GPL24247,1610017790779
GSE147326,GPL24676,1610017790779
GSE162726,GPL18573,1610017790779
GSE158631,GPL16791,1610017790779
GSE162654,GPL21103,1610017790779
GSE162512,GPL24247,1610017790779
GSE148673,GPL24676,1610017790779
GSE146409,GPL21697,1610017790779
GSE84915,GPL16791,1610017790779
GSE162334,GPL24676,1610017790779
GSE152210,GPL19057,1610017790779
GSE152182,GPL19057,1610017790779
GSE152183,GPL19057,1610017790779
GSE157760,GPL24676,1610017790779
GSE132338,GPL21290,1610017790779
GSE108653,GPL13112,1610017790779
GSE136220,GPL21103,1610017790779
