gse_id,gpl_id,repo_id
GSE161023,GPL10558,9
GSE143680,GPL6244,9
GSE143574,GPL18573,9
GSE143574,GPL20301,9
GSE143574,GPL20301,9
GSE143574,GPL21103,9
GSE143574,GPL6244,9
GSE143574,GPL18573,9
GSE142162,GPL16311,9
GSE134448,GPL10558,9
GSE134448,GPL10558,9
GSE134447,GPL10558,9
GSE134446,GPL10558,9
GSE133228,GPL16791,9
GSE133228,GPL24676,9
GSE133228,GPL16791,9
GSE133228,GPL24676,9
GSE133228,GPL16791,9
GSE133228,GPL24676,9
GSE133228,GPL16311,9
GSE133228,GPL24676,9
GSE133228,GPL24676,9
GSE133228,GPL24676,9
GSE133228,GPL16791,9
GSE133120,GPL570,9
