gse_id,gpl_id,repo_id
GSE35623,GPL15166,1610017724989
GSE34838,GPL6887,1610017724989
GSE34758,GPL4134,1610017724989
GSE33901,GPL7202,1610017724989
GSE31792,GPL1261,1610017724989
GSE30849,GPL3779,1610017724989
GSE30472,GPL5188,1610017724989
GSE29002,GPL2895,1610017724989
GSE27836,GPL6887,1610017724989
GSE27575,GPL6246,1610017724989
GSE36443,GPL4134,1610017724989
GSE35363,GPL6100,1610017724989
GSE35145,GPL10558,1610017724989
GSE33282,GPL5188,1610017724989
GSE32147,GPL6101,1610017724989
GSE31334,GPL14136,1610017724989
GSE31023,GPL13497,1610017724989
GSE30180,GPL6947,1610017724989
GSE30213,GPL6947,1610017724989
GSE30214,GPL6947,1610017724989
GSE30215,GPL6947,1610017724989
GSE28713,GPL11383,1610017724989
GSE15667,GPL2872,1610017724989
GSE38988,GPL1261,1610017724989
GSE38988,GPL1261,1610017724989
GSE38866,GPL13667,1610017724989
GSE29783,GPL570,1610017724989
GSE38977,GPL6244,1610017724989
GSE38962,GPL6885,1610017724989
GSE37012,GPL15401,1610017724989
GSE35228,GPL6254,1610017724989
GSE35210,GPL6845,1610017724989
GSE34929,GPL6254,1610017724989
GSE30301,GPL6101,1610017724989
GSE38974,GPL4133,1610017724989
GSE38974,GPL7723,1610017724989
GSE38932,GPL5936,1610017724989
GSE38939,GPL5936,1610017724989
GSE34874,GPL6246,1610017724989
GSE34874,GPL6246,1610017724989
GSE31836,GPL6480,1610017724989
GSE25307,GPL5345,1610017724989
GSE38924,GPL6480,1610017724989
GSE38908,GPL15740,1610017724989
GSE33762,GPL8321,1610017724989
GSE22873,GPL1261,1610017724989
GSE37705,GPL1261,1610017724989
GSE37580,GPL570,1610017724989
GSE34866,GPL11383,1610017724989
GSE34289,GPL5175,1610017724989
GSE34289,GPL14961,1610017724989
GSE31022,GPL6887,1610017724989
GSE27126,GPL13132,1610017724989
GSE22280,GPL1261,1610017724989
GSE38889,GPL1355,1610017724989
GSE17015,GPL4870,1610017724989
GSE33755,GPL4133,1610017724989
GSE31013,GPL1261,1610017724989
GSE27692,GPL6801,1610017724989
GSE27692,GPL570,1610017724989
GSE19112,GPL9692,1610017724989
GSE38836,GPL570,1610017724989
GSE38834,GPL1355,1610017724989
GSE38817,GPL10558,1610017724989
GSE38807,GPL15713,1610017724989
GSE38807,GPL15714,1610017724989
GSE36804,GPL6885,1610017724989
GSE36284,GPL6887,1610017724989
GSE34882,GPL1261,1610017724989
GSE30647,GPL13912,1610017724989
GSE30469,GPL2896,1610017724989
GSE24225,GPL1261,1610017724989
GSE38833,GPL570,1610017724989
GSE38826,GPL6246,1610017724989
GSE38826,GPL6246,1610017724989
GSE32982,GPL570,1610017724989
GSE23975,GPL6887,1610017724989
GSE22047,GPL570,1610017724989
GSE22047,GPL6804,1610017724989
GSE38785,GPL4134,1610017724989
GSE38777,GPL6887,1610017724989
GSE38001,GPL1261,1610017724989
GSE21098,GPL6568,1610017724989
GSE35844,GPL1261,1610017724989
GSE35844,GPL1261,1610017724989
GSE35697,GPL7294,1610017724989
GSE33495,GPL570,1610017724989
GSE33319,GPL6885,1610017724989
GSE32664,GPL5175,1610017724989
GSE18586,GPL1261,1610017724989
GSE18586,GPL1261,1610017724989
GSE37861,GPL6246,1610017724989
GSE38754,GPL1261,1610017724989
GSE38754,GPL1261,1610017724989
GSE38121,GPL570,1610017724989
GSE22034,GPL1261,1610017724989
GSE38734,GPL6244,1610017724989
GSE38708,GPL6104,1610017724989
GSE38226,GPL8179,1610017724989
GSE38226,GPL6947,1610017724989
GSE35628,GPL10558,1610017724989
GSE34928,GPL80,1610017724989
GSE33841,GPL6887,1610017724989
GSE38696,GPL1261,1610017724989
GSE38697,GPL570,1610017724989
GSE38693,GPL1261,1610017724989
GSE13691,GPL340,1610017724989
GSE13691,GPL339,1610017724989
GSE38650,GPL14573,1610017724989
GSE38650,GPL14597,1610017724989
GSE38650,GPL1261,1610017724989
GSE36480,GPL6480,1610017724989
GSE33078,GPL6947,1610017724989
GSE32455,GPL6244,1610017724989
GSE29023,GPL4091,1610017724989
GSE29023,GPL570,1610017724989
GSE38224,GPL1261,1610017724989
GSE23352,GPL10379,1610017724989
GSE23529,GPL10379,1610017724989
