gse_id,gpl_id,repo_id
GSE192817,GPL20844,9
GSE189234,GPL18058,9
GSE189234,GPL15691,9
GSE189233,GPL15691,9
GSE186250,GPL1261,9
GSE185150,GPL13912,9
GSE184299,GPL1261,9
GSE184298,GPL1261,9
GSE184296,GPL570,9
GSE183071,GPL30569,9
GSE183049,GPL13912,9
GSE181089,GPL23159,9
GSE179286,GPL6105,9
GSE176388,GPL570,9
GSE175865,GPL26356,9
GSE168325,GPL15207,9
GSE166287,GPL23159,9
GSE164992,GPL13684,9
GSE162955,GPL17586,9
GSE162635,GPL570,9
GSE161785,GPL23159,9
GSE160904,GPL570,9
GSE160886,GPL17692,9
GSE160618,GPL570,9
GSE158237,GPL16686,9
GSE157334,GPL6246,9
GSE156442,GPL22740,9
GSE156354,GPL1261,9
GSE156354,GPL1261,9
GSE156354,GPL1261,9
GSE156354,GPL1261,9
GSE156354,GPL570,9
GSE156354,GPL570,9
GSE156354,GPL1261,9
GSE156354,GPL1261,9
GSE156353,GPL570,9
GSE156352,GPL1261,9
GSE156351,GPL1261,9
GSE156350,GPL1261,9
GSE156349,GPL1261,9
GSE153044,GPL26140,9
GSE153044,GPL20084,9
GSE153042,GPL26140,9
GSE151888,GPL28635,9
GSE151672,GPL570,9
GSE149653,GPL16686,9
GSE149283,GPL23159,9
GSE148156,GPL13369,9
GSE141230,GPL25683,9
GSE137142,GPL570,9
GSE124684,GPL17400,9
GSE123677,GPL6103,9
GSE121577,GPL23040,9
GSE110735,GPL20775,9
GSE110066,GPL570,9
GSE104959,GPL1261,9
GSE53367,GPL6244,9
GSE53367,GPL11154,9
GSE53285,GPL6244,9
GSE44589,GPL570,9
GSE37309,GPL7202,9
GSE37309,GPL13992,9
GSE37289,GPL7202,9
