gse_id,gpl_id,repo_id
GSE175512,GPL21163,9
GSE175511,GPL21163,9
GSE173925,GPL30084,9
GSE173924,GPL30083,9
GSE171107,GPL16570,9
GSE167034,GPL1261,9
GSE167033,GPL1261,9
GSE167032,GPL1261,9
GSE166912,GPL570,9
GSE166912,GPL20748,9
GSE166912,GPL20748,9
GSE166868,GPL1261,9
GSE166868,GPL16570,9
GSE166868,GPL1261,9
GSE166868,GPL1261,9
GSE166868,GPL1261,9
GSE166868,GPL17021,9
GSE166867,GPL16570,9
GSE166716,GPL570,9
GSE166488,GPL1261,9
GSE166195,GPL23040,9
GSE163560,GPL23126,9
GSE161618,GPL13912,9
GSE160430,GPL6244,9
GSE152539,GPL16570,9
GSE152507,GPL16686,9
GSE147116,GPL25998,9
GSE147115,GPL25998,9
GSE145479,GPL22145,9
GSE144665,GPL10558,9
GSE144665,GPL13534,9
GSE144516,GPL10558,9
GSE144095,GPL13667,9
GSE126699,GPL5175,9
GSE126595,GPL5175,9
GSE114224,GPL6885,9
GSE69050,GPL13667,9
