gse_id,gpl_id,repo_id
GSE171275,GPL17400,9
GSE167413,GPL13912,9
GSE167311,GPL1261,9
GSE167278,GPL16686,9
GSE161830,GPL13376,9
GSE159385,GPL10558,9
GSE158895,GPL23038,9
GSE158895,GPL23038,9
GSE158895,GPL23159,9
GSE158616,GPL23159,9
GSE158614,GPL23038,9
GSE158613,GPL23038,9
GSE149423,GPL10787,9
GSE148322,GPL16686,9
GSE148322,GPL19251,9
GSE147804,GPL22438,9
GSE147385,GPL20115,9
GSE147216,GPL21877,9
GSE145538,GPL16686,9
GSE129864,GPL23159,9
GSE128213,GPL17586,9
GSE117505,GPL6480,9
GSE80785,GPL570,9
