gse_id,gpl_id,repo_id
GSE181805,GPL17586,9
GSE179383,GPL15084,9
GSE178729,GPL21163,9
GSE177477,GPL23159,9
GSE176356,GPL21163,9
GSE175995,GPL16686,9
GSE174796,GPL22439,9
GSE165062,GPL6885,9
GSE162859,GPL21810,9
GSE162588,GPL21810,9
GSE157161,GPL16570,9
GSE154454,GPL10558,9
GSE154453,GPL10558,9
GSE152403,GPL28689,9
GSE147963,GPL570,9
GSE142260,GPL21163,9
GSE141539,GPL25262,9
GSE141412,GPL19057,9
GSE141412,GPL25454,9
GSE141411,GPL25454,9
GSE129247,GPL17077,9
GSE124036,GPL10787,9
GSE15878,GPL6247,9
