gse_id,gpl_id,repo_id
GSE205209,GPL27956,9
GSE205185,GPL21185,9
GSE200409,GPL13912,9
GSE199536,GPL16686,9
GSE198961,GPL32068,9
GSE191214,GPL6885,9
GSE189292,GPL23038,9
GSE186798,GPL23038,9
GSE186798,GPL23159,9
GSE186096,GPL30820,9
GSE186096,GPL30876,9
GSE186019,GPL26963,9
GSE181644,GPL10558,9
GSE176245,GPL16570,9
GSE168694,GPL22120,9
GSE165453,GPL23159,9
GSE164706,GPL570,9
GSE164703,GPL570,9
GSE164701,GPL570,9
GSE161911,GPL10558,9
GSE152215,GPL570,9
GSE147562,GPL20844,9
GSE146485,GPL1355,9
GSE145699,GPL27949,9
GSE143533,GPL24557,9
GSE143160,GPL24557,9
GSE133902,GPL10558,9
GSE133666,GPL16686,9
GSE133279,GPL21163,9
GSE131275,GPL1708,9
GSE84046,GPL11532,9
GSE59498,GPL11532,9
GSE48856,GPL11533,9
