gse_id,gpl_id,repo_id
GSE196435,GPL20775,9
GSE195924,GPL23038,9
GSE194261,GPL17077,9
GSE192517,GPL16570,9
GSE191215,GPL10558,9
GSE190261,GPL6887,9
GSE183462,GPL6247,9
GSE183462,GPL6247,9
GSE183461,GPL6247,9
GSE183460,GPL6247,9
GSE181430,GPL23038,9
GSE181430,GPL20775,9
GSE181430,GPL17021,9
GSE181430,GPL19057,9
GSE181424,GPL20775,9
GSE181423,GPL23038,9
GSE174673,GPL23126,9
GSE171335,GPL19795,9
GSE169557,GPL6480,9
GSE169557,GPL17077,9
GSE165902,GPL23038,9
GSE162622,GPL570,9
GSE147819,GPL570,9
GSE146272,GPL16570,9
GSE146271,GPL16570,9
GSE142367,GPL20844,9
GSE127676,GPL1261,9
