gse_id,gpl_id,repo_id
GSE185122,GPL15207,9
GSE185092,GPL8321,9
GSE185012,GPL16686,9
GSE184997,GPL21626,9
GSE184997,GPL30680,9
GSE184995,GPL30680,9
GSE184994,GPL30679,9
GSE183864,GPL23038,9
GSE172135,GPL25683,9
GSE171267,GPL23038,9
GSE167598,GPL1261,9
GSE167314,GPL23159,9
GSE166956,GPL29735,9
GSE166069,GPL13534,9
GSE160989,GPL8321,9
GSE158326,GPL18649,9
GSE125059,GPL570,9
GSE125059,GPL570,9
GSE125059,GPL20301,9
GSE125058,GPL570,9
GSE125057,GPL570,9
GSE121365,GPL10558,9
GSE120699,GPL6244,9
GSE9524,GPL1261,9
