gse_id,gpl_id,repo_id
GSE167299,GPL6887,1610017724989
GSE167294,GPL20844,1610017724989
GSE167279,GPL23126,1610017724989
GSE167279,GPL24539,1610017724989
GSE167276,GPL20775,1610017724989
GSE167274,GPL23038,1610017724989
GSE167268,GPL1261,1610017724989
GSE167248,GPL13912,1610017724989
GSE167238,GPL23040,1610017724989
GSE167226,GPL15207,1610017724989
GSE146825,GPL16791,1610017724989
GSE146825,GPL16686,1610017724989
GSE146825,GPL16791,1610017724989
GSE146823,GPL16686,1610017724989
GSE127069,GPL17077,1610017724989
GSE111249,GPL20775,1610017724989
