gse_id,gpl_id,repo_id
GSE167225,GPL13607,1610017724989
GSE165259,GPL23038,1610017724989
GSE165259,GPL16570,1610017724989
GSE165259,GPL21103,1610017724989
GSE165259,GPL21103,1610017724989
GSE165257,GPL16570,1610017724989
GSE157955,GPL6244,1610017724989
GSE156357,GPL570,1610017724989
GSE149573,GPL23038,1610017724989
GSE148450,GPL25483,1610017724989
GSE142256,GPL23159,1610017724989
GSE142256,GPL17586,1610017724989
GSE142255,GPL17586,1610017724989
GSE142254,GPL23159,1610017724989
GSE138991,GPL15207,1610017724989
GSE122980,GPL18573,1610017724989
