gse_id,gpl_id,repo_id
GSE37107,GPL6947,1610017724989
GSE110662,GPL13912,1610017724989
GSE110664,GPL13912,1610017724989
GSE110877,GPL21810,1610017724989
GSE131963,GPL20775,1610017724989
GSE131762,GPL13497,1610017724989
GSE130755,GPL21163,1610017724989
GSE98796,GPL4134,1610017724989
GSE98798,GPL4133,1610017724989
GSE98503,GPL10333,1610017724989
GSE131516,GPL6887,1610017724989
GSE116118,GPL6480,1610017724989
GSE82027,GPL16570,1610017724989
GSE100836,GPL1261,1610017724989
GSE131794,GPL16570,1610017724989
GSE117553,GPL6246,1610017724989
GSE112513,GPL13692,1610017724989
GSE125233,GPL16570,1610017724989
GSE128407,GPL15207,1610017724989
GSE120876,GPL16570,1610017724989
GSE102289,GPL1261,1610017724989
GSE69988,GPL15207,1610017724989
GSE114786,GPL10558,1610017724989
GSE106402,GPL16699,1610017724989
GSE106748,GPL16686,1610017724989
GSE131163,GPL13912,1610017724989
GSE129048,GPL21163,1610017724989
GSE122020,GPL22388,1610017724989
GSE131133,GPL20844,1610017724989
GSE128949,GPL17692,1610017724989
GSE125543,GPL21185,1610017724989
GSE122522,GPL21185,1610017724989
GSE122883,GPL11533,1610017724989
GSE112329,GPL17586,1610017724989
GSE130761,GPL21185,1610017724989
GSE120347,GPL16686,1610017724989
GSE104861,GPL4133,1610017724989
GSE130249,GPL10558,1610017724989
GSE128961,GPL10558,1610017724989
GSE125408,GPL10558,1610017724989
GSE130459,GPL96,1610017724989
GSE84616,GPL13497,1610017724989
GSE84617,GPL13497,1610017724989
GSE130548,GPL6246,1610017724989
GSE108373,GPL21810,1610017724989
GSE124518,GPL20258,1610017724989
GSE124444,GPL8321,1610017724989
GSE124445,GPL8321,1610017724989
GSE123889,GPL16570,1610017724989
GSE123458,GPL16686,1610017724989
GSE122823,GPL17400,1610017724989
GSE122824,GPL17692,1610017724989
GSE122773,GPL570,1610017724989
GSE121306,GPL16570,1610017724989
GSE115010,GPL10558,1610017724989
GSE113102,GPL13912,1610017724989
GSE113103,GPL13912,1610017724989
GSE82057,GPL16686,1610017724989
GSE81389,GPL11202,1610017724989
GSE129001,GPL5639,1610017724989
GSE127965,GPL10558,1610017724989
GSE126977,GPL21810,1610017724989
GSE122901,GPL570,1610017724989
GSE117445,GPL11180,1610017724989
GSE114324,GPL16570,1610017724989
GSE109749,GPL17077,1610017724989
GSE103616,GPL17400,1610017724989
GSE97692,GPL16043,1610017724989
GSE120494,GPL1261,1610017724989
GSE130328,GPL17077,1610017724989
GSE112624,GPL6247,1610017724989
GSE112180,GPL20844,1610017724989
GSE130204,GPL10558,1610017724989
GSE121493,GPL1261,1610017724989
GSE118134,GPL16570,1610017724989
GSE109579,GPL1261,1610017724989
GSE108895,GPL10558,1610017724989
GSE130191,GPL21163,1610017724989
GSE130154,GPL16570,1610017724989
GSE122931,GPL1261,1610017724989
GSE113514,GPL15207,1610017724989
GSE79852,GPL17400,1610017724989
GSE46400,GPL6246,1610017724989
GSE130083,GPL15207,1610017724989
