gse_id,gpl_id,repo_id
GSE15383,GPL4937,1610017724989
GSE24256,GPL4134,1610017724989
GSE24256,GPL4134,1610017724989
GSE24256,GPL4134,1610017724989
GSE24238,GPL8300,1610017724989
GSE23907,GPL4134,1610017724989
GSE25031,GPL6255,1610017724989
GSE24984,GPL6244,1610017724989
GSE24985,GPL6244,1610017724989
GSE21083,GPL6885,1610017724989
GSE21083,GPL6885,1610017724989
GSE24964,GPL6246,1610017724989
GSE23183,GPL570,1610017724989
GSE24899,GPL7080,1610017724989
GSE24459,GPL10191,1610017724989
GSE24384,GPL10106,1610017724989
GSE24384,GPL10108,1610017724989
GSE16745,GPL570,1610017724989
GSE19822,GPL9873,1610017724989
GSE19822,GPL9872,1610017724989
GSE18845,GPL6101,1610017724989
GSE11211,GPL6753,1610017724989
GSE24894,GPL6103,1610017724989
GSE24829,GPL6246,1610017724989
GSE24830,GPL6246,1610017724989
GSE24760,GPL6246,1610017724989
GSE24891,GPL6480,1610017724989
GSE24821,GPL6101,1610017724989
GSE24816,GPL6887,1610017724989
GSE21296,GPL6244,1610017724989
GSE24824,GPL570,1610017724989
GSE24807,GPL2895,1610017724989
GSE24728,GPL6193,1610017724989
GSE21596,GPL10367,1610017724989
GSE21272,GPL1261,1610017724989
GSE19877,GPL6247,1610017724989
GSE19877,GPL6247,1610017724989
GSE15892,GPL1261,1610017724989
GSE24780,GPL11067,1610017724989
GSE24621,GPL6244,1610017724989
GSE24354,GPL10424,1610017724989
GSE24354,GPL4134,1610017724989
GSE24121,GPL1261,1610017724989
GSE20877,GPL7467,1610017724989
GSE18759,GPL6246,1610017724989
GSE24046,GPL6246,1610017724989
GSE23656,GPL8321,1610017724989
GSE23008,GPL6246,1610017724989
GSE20165,GPL6246,1610017724989
GSE19499,GPL8321,1610017724989
GSE24171,GPL4133,1610017724989
GSE24009,GPL3877,1610017724989
GSE23349,GPL6244,1610017724989
GSE23349,GPL1322,1610017724989
GSE21349,GPL570,1610017724989
GSE21349,GPL3720,1610017724989
GSE21349,GPL3718,1610017724989
GSE15621,GPL6884,1610017724989
GSE24095,GPL10907,1610017724989
GSE24730,GPL6885,1610017724989
GSE24725,GPL11048,1610017724989
GSE24724,GPL11048,1610017724989
GSE24723,GPL11048,1610017724989
GSE24722,GPL11048,1610017724989
GSE24721,GPL11048,1610017724989
GSE24720,GPL11048,1610017724989
GSE24719,GPL11048,1610017724989
GSE24718,GPL11048,1610017724989
GSE24716,GPL571,1610017724989
GSE24695,GPL1261,1610017724989
GSE24695,GPL571,1610017724989
GSE23361,GPL5188,1610017724989
GSE22113,GPL339,1610017724989
GSE18991,GPL1261,1610017724989
GSE18992,GPL1261,1610017724989
GSE17696,GPL6246,1610017724989
GSE24673,GPL6244,1610017724989
GSE22307,GPL1261,1610017724989
GSE22307,GPL1261,1610017724989
GSE18558,GPL6885,1610017724989
GSE22321,GPL1355,1610017724989
GSE17603,GPL2872,1610017724989
GSE24603,GPL11033,1610017724989
GSE20944,GPL1261,1610017724989
GSE24598,GPL96,1610017724989
GSE24583,GPL6883,1610017724989
GSE24580,GPL1261,1610017724989
GSE24525,GPL4134,1610017724989
GSE24497,GPL6104,1610017724989
GSE24556,GPL1109,1610017724989
GSE24533,GPL6244,1610017724989
GSE24533,GPL6244,1610017724989
GSE19338,GPL1261,1610017724989
GSE18462,GPL570,1610017724989
GSE18602,GPL6246,1610017724989
GSE18487,GPL6244,1610017724989
GSE17684,GPL6886,1610017724989
