gse_id,gpl_id,repo_id
GSE12948,GPL1261,9
GSE22058,GPL9733,9
GSE7225,GPL1261,9
GSE7808,GPL570,9
GSE11851,GPL1355,9
GSE10846,GPL570,9
GSE3068,GPL85,9
GSE2042,GPL81,9
GSE3518,GPL1439,9
GSE3790,GPL97,9
GSE13164,GPL7473,9
GSE1624,GPL81,9
GSE16923,GPL6246,9
GSE10140,GPL5474,9
GSE24363,GPL1355,9
GSE9015,GPL4091,9
GSE7759,GPL1261,9
GSE12966,GPL1355,9
GSE14101,GPL1261,9
GSE6196,GPL1261,9
GSE15119,GPL8321,9
GSE17473,GPL1261,9
GSE6601,GPL4695,9
GSE12668,GPL4091,9
GSE9714,GPL96,9
GSE1892,GPL341,9
GSE23006,GPL1261,9
GSE5221,GPL3876,9
GSE6259,GPL1261,9
GSE11794,GPL82,9
GSE13787,GPL570,9
GSE12956,GPL1261,9
GSE10192,GPL1261,9
GSE11892,GPL6104,9
GSE6605,GPL93,9
GSE20659,GPL1355,9
GSE22133,GPL5345,9
GSE6606,GPL93,9
GSE6535,GPL4274,9
GSE17959,GPL1355,9
GSE16981,GPL1355,9
GSE802,GPL85,9
GSE10784,GPL1261,9
GSE11883,GPL570,9
GSE7084,GPL570,9
GSE1123,GPL81,9
GSE21687,GPL570,9
GSE12978,GPL1355,9
GSE15695,GPL570,9
GSE19710,GPL85,9
GSE5561,GPL4048,9
GSE1152,GPL97,9
GSE487,GPL85,9
GSE6532,GPL96,9
GSE1675,GPL85,9
GSE8582,GPL1261,9
GSE12417,GPL97,9
GSE23914,GPL6246,9
GSE16746,GPL3718,9
GSE1419,GPL81,9
GSE13270,GPL1355,9
GSE15582,GPL81,9
GSE3494,GPL97,9
GSE15774,GPL6105,9
GSE5789,GPL85,9
GSE11821,GPL8321,9
GSE1892,GPL342,9
GSE20377,GPL8321,9
GSE10656,GPL8081,9
GSE22818,GPL6247,9
GSE13432,GPL1261,9
GSE6891,GPL570,9
GSE11327,GPL570,9
GSE8289,GPL570,9
GSE9588,GPL4372,9
GSE20692,GPL6883,9
GSE10881,GPL1261,9
GSE24459,GPL10191,9
GSE122189,GPL16956,9
GSE9810,GPL1261,9
GSE469,GPL81,9
GSE1152,GPL96,9
GSE6104,GPL1355,9
GSE12773,GPL570,9
GSE13269,GPL1355,9
GSE8988,GPL341,9
GSE16451,GPL570,9
GSE16428,GPL6246,9
GSE2240,GPL97,9
GSE7055,GPL571,9
GSE12581,GPL1261,9
GSE13407,GPL4133,9
GSE11038,GPL2005,9
GSE3751,GPL1073,9
GSE12417,GPL570,9
GSE5561,GPL4049,9
GSE1825,GPL96,9
GSE272,GPL76,9
GSE9537,GPL1355,9
GSE8863,GPL1261,9
GSE1823,GPL91,9
GSE97210,GPL16956,9
GSE18155,GPL96,9
GSE6506,GPL1261,9
GSE4870,GPL340,9
GSE1888,GPL341,9
GSE4824,GPL570,9
GSE3494,GPL96,9
GSE11662,GPL1261,9
GSE20502,GPL10097,9
GSE2503,GPL96,9
GSE11211,GPL6753,9
GSE19658,GPL1355,9
GSE13268,GPL1355,9
GSE20486,GPL6947,9
GSE13278,GPL6246,9
GSE2378,GPL91,9
GSE18464,GPL2895,9
GSE2508,GPL93,9
GSE8295,GPL1261,9
GSE11180,GPL1355,9
GSE4870,GPL81,9
GSE2508,GPL94,9
GSE5456,GPL4049,9
GSE2104,GPL85,9
GSE350,GPL8300,9
GSE1907,GPL8300,9
GSE14807,GPL570,9
GSE7171,GPL4917,9
GSE2240,GPL96,9
GSE22058,GPL6793,9
GSE3790,GPL96,9
GSE928,GPL91,9
GSE21687,GPL1261,9
GSE3158,GPL75,9
GSE19877,GPL6247,9
GSE138912,GPL21827,9
GSE21774,GPL570,9
GSE490,GPL85,9
GSE13125,GPL1261,9
GSE11775,GPL1261,9
GSE1371,GPL85,9
GSE3110,GPL1355,9
GSE17250,GPL1261,9
GSE7328,GPL4918,9
GSE15665,GPL8444,9
GSE15871,GPL1261,9
GSE4870,GPL339,9
GSE17053,GPL7408,9
GSE18281,GPL1261,9
GSE1574,GPL485,9
GSE3158,GPL76,9
GSE988,GPL81,9
GSE4732,GPL3706,9
GSE8949,GPL1261,9
GSE6608,GPL93,9
GSE7074,GPL4868,9
GSE5258,GPL3921,9
GSE11038,GPL96,9
GSE20388,GPL1355,9
GSE1159,GPL96,9
GSE21512,GPL7202,9
GSE3995,GPL81,9
GSE6081,GPL1261,9
GSE2508,GPL95,9
GSE14879,GPL570,9
GSE23566,GPL8321,9
GSE13504,GPL570,9
GSE18224,GPL1261,9
GSE19403,GPL1261,9
GSE1001,GPL85,9
GSE11533,GPL8321,9
GSE9234,GPL570,9
GSE469,GPL32,9
GSE3746,GPL1073,9
GSE3748,GPL1073,9
GSE14320,GPL1261,9
GSE11794,GPL83,9
GSE14030,GPL2872,9
GSE20419,GPL891,9
GSE19668,GPL1261,9
GSE15267,GPL1261,9
GSE24080,GPL570,9
GSE4870,GPL82,9
GSE6204,GPL2877,9
GSE73830,GPL16956,9
GSE12417,GPL96,9
GSE15155,GPL1261,9
GSE3757,GPL922,9
GSE2658,GPL570,9
GSE12730,GPL1261,9
GSE17498,GPL9021,9
GSE14929,GPL1261,9
GSE13125,GPL6096,9
GSE15062,GPL1261,9
GSE5223,GPL3876,9
GSE4339,GPL3222,9
GSE6306,GPL4557,9
GSE13590,GPL1261,9
GSE12341,GPL85,9
GSE9812,GPL1261,9
GSE12891,GPL570,9
GSE7050,GPL1261,9
GSE9015,GPL570,9
GSE10142,GPL5474,9
GSE10493,GPL1261,9
GSE6085,GPL1261,9
GSE19232,GPL6480,9
GSE18135,GPL1261,9
GSE6532,GPL570,9
GSE14431,GPL1261,9
GSE21349,GPL570,9
GSE15072,GPL570,9
GSE5504,GPL570,9
GSE4870,GPL83,9
GSE19534,GPL1261,9
GSE17498,GPL2005,9
GSE18054,GPL6480,9
GSE11898,GPL1261,9
GSE594,GPL85,9
GSE14256,GPL571,9
GSE934,GPL81,9
GSE16746,GPL96,9
GSE16394,GPL8576,9
GSE1659,GPL81,9
GSE10141,GPL5474,9
GSE4142,GPL1261,9
GSE23656,GPL8321,9
GSE12132,GPL1355,9
GSE1378,GPL1223,9
GSE1008,GPL81,9
GSE589,GPL85,9
GSE642,GPL81,9
GSE11794,GPL81,9
GSE90524,GPL16956,9
GSE487,GPL341,9
GSE1880,GPL8300,9
GSE19894,GPL6246,9
GSE14038,GPL7869,9
GSE272,GPL75,9
GSE3298,GPL1355,9
GSE5772,GPL4274,9
GSE6532,GPL97,9
GSE592,GPL85,9
GSE13470,GPL4133,9
GSE19436,GPL1261,9
GSE9570,GPL1355,9
GSE10186,GPL5474,9
GSE15043,GPL570,9
GSE15907,GPL6246,9
GSE17407,GPL570,9
GSE7171,GPL4733,9
GSE14841,GPL570,9
GSE61166,GPL16956,9
GSE13475,GPL570,9
GSE24437,GPL1261,9
GSE12453,GPL570,9
GSE14468,GPL570,9
GSE17053,GPL7363,9
GSE13379,GPL1261,9
GSE5258,GPL96,9
GSE4739,GPL1261,9
GSE7625,GPL1355,9
GSE15640,GPL1261,9
GSE6482,GPL1261,9
GSE20987,GPL1261,9
GSE21309,GPL1261,9
GSE10143,GPL5474,9
GSE21360,GPL6246,9
GSE17050,GPL6101,9
GSE5576,GPL4200,9
GSE2042,GPL32,9
GSE9116,GPL96,9
GSE1880,GPL91,9
