gse_id,gpl_id,repo_id
GSE64472,GPL6884,1610017724989
GSE86575,GPL16686,1610017724989
GSE33173,GPL6887,1610017724989
GSE131614,GPL6887,1610017724989
GSE136043,GPL13497,1610017724989
GSE141864,GPL17586,1610017724989
GSE97969,GPL16686,1610017724989
GSE126608,GPL6244,1610017724989
GSE111565,GPL20115,1610017724989
GSE110202,GPL570,1610017724989
GSE106184,GPL16570,1610017724989
GSE98269,GPL21047,1610017724989
GSE112827,GPL13912,1610017724989
GSE38870,GPL1261,1610017724989
GSE152322,GPL10558,1610017724989
GSE131781,GPL23126,1610017724989
GSE97833,GPL17077,1610017724989
GSE130499,GPL4133,1610017724989
GSE139825,GPL10558,1610017724989
GSE144909,GPL10558,1610017724989
GSE97825,GPL13912,1610017724989
GSE108358,GPL21810,1610017724989
GSE150649,GPL6247,1610017724989
GSE157024,GPL17692,1610017724989
GSE117950,GPL17586,1610017724989
GSE106186,GPL16570,1610017724989
GSE117951,GPL17586,1610017724989
GSE93204,GPL6480,1610017724989
GSE136043,GPL13497,1610017724989
GSE121550,GPL16570,1610017724989
GSE103963,GPL17930,1610017724989
GSE97834,GPL13912,1610017724989
GSE99357,GPL17586,1610017724989
GSE144521,GPL14951,1610017724989
GSE160023,GPL16686,1610017724989
GSE33173,GPL6105,1610017724989
GSE134257,GPL21163,1610017724989
GSE97824,GPL17077,1610017724989
GSE131866,GPL10558,1610017724989
GSE117949,GPL17586,1610017724989
GSE94670,GPL10558,1610017724989
GSE94550,GPL17586,1610017724989
GSE125681,GPL10558,1610017724989
GSE64472,GPL6887,1610017724989
GSE120347,GPL16686,1610017724989
GSE97826,GPL13912,1610017724989
GSE129001,GPL5639,1610017724989
GSE97834,GPL17077,1610017724989
GSE156435,GPL15207,1610017724989
GSE110203,GPL570,1610017724989
GSE158645,GPL7202,1610017724989
GSE128708,GPL570,1610017724989
GSE116560,GPL6883,1610017724989
GSE90589,GPL7202,1610017724989
GSE97823,GPL17077,1610017724989
GSE134480,GPL15207,1610017724989
GSE39337,GPL6480,1610017724989
GSE160919,GPL16686,1610017724989
GSE106183,GPL16686,1610017724989

