gse_id,gpl_id,repo_id
GSE67986,GPL15207,1610017724989
GSE29225,GPL10558,1610017724989
GSE26509,GPL6246,1610017724989
GSE57181,GPL16570,1610017724989
GSE158116,GPL17400,1610017724989
GSE28440,GPL6246,1610017724989
GSE48091,GPL10379,1610017724989
GSE30865,GPL1261,1610017724989
GSE46090,GPL1261,1610017724989
GSE24505,GPL6602,1610017724989
GSE124155,GPL21810,1610017724989
GSE80362,GPL5973,1610017724989
GSE19836,GPL8321,1610017724989
GSE43419,GPL1261,1610017724989
GSE112676,GPL6947,1610017724989
GSE29522,GPL96,1610017724989
GSE59799,GPL16699,1610017724989
GSE40875,GPL6246,1610017724989
GSE43059,GPL1261,1610017724989
GSE25937,GPL6246,1610017724989
GSE119397,GPL16686,1610017724989
GSE28426,GPL571,1610017724989
GSE43513,GPL6887,1610017724989
GSE75010,GPL6244,1610017724989
GSE29458,GPL1261,1610017724989
GSE47460,GPL14550,1610017724989
GSE27848,GPL1261,1610017724989
GSE147786,GPL23126,1610017724989
GSE101710,GPL10558,1610017724989
GSE47755,GPL8798,1610017724989
GSE50028,GPL8321,1610017724989
GSE115342,GPL21810,1610017724989
GSE108958,GPL17930,1610017724989
GSE63611,GPL6885,1610017724989
GSE47080,GPL6247,1610017724989
GSE32306,GPL6885,1610017724989
GSE60149,GPL6246,1610017724989
GSE78202,GPL8321,1610017724989
GSE29630,GPL570,1610017724989
GSE39249,GPL7202,1610017724989
GSE46970,GPL1261,1610017724989
GSE39445,GPL15331,1610017724989
GSE33315,GPL96,1610017724989
GSE69588,GPL6246,1610017724989
GSE32128,GPL6246,1610017724989
GSE66222,GPL570,1610017724989
GSE124154,GPL13912,1610017724989
GSE38889,GPL1355,1610017724989
GSE82053,GPL10787,1610017724989
GSE67747,GPL13497,1610017724989
GSE30864,GPL340,1610017724989
GSE30169,GPL3921,1610017724989
GSE65249,GPL1261,1610017724989
GSE31620,GPL571,1610017724989
GSE17938,GPL570,1610017724989
GSE21363,GPL96,1610017724989
GSE30691,GPL85,1610017724989
