gse_id,gpl_id,repo_id
GSE164099,GPL23038,1610017724989
GSE164094,GPL13912,1610017724989
GSE164091,GPL6246,1610017724989
GSE163399,GPL16570,1610017724989
GSE162076,GPL25483,1610017724989
GSE161352,GPL16699,1610017724989
GSE160932,GPL23159,1610017724989
GSE159695,GPL23038,1610017724989
GSE156873,GPL17586,1610017724989
GSE156544,GPL21272,1610017724989
GSE156529,GPL6193,1610017724989
GSE154750,GPL6480,1610017724989
GSE154466,GPL19117,1610017724989
GSE153196,GPL16686,1610017724989
GSE153179,GPL16570,1610017724989
GSE148604,GPL6887,1610017724989
GSE147433,GPL1261,1610017724989
GSE145854,GPL17117,1610017724989
GSE145694,GPL20710,1610017724989
GSE144096,GPL17077,1610017724989
GSE142059,GPL16570,1610017724989
GSE141362,GPL17586,1610017724989
GSE140962,GPL17077,1610017724989
GSE127994,GPL16686,1610017724989
GSE125818,GPL10558,1610017724989
GSE124937,GPL570,1610017724989
GSE124595,GPL24299,1610017724989
GSE123924,GPL15207,1610017724989
GSE110292,GPL1261,1610017724989
GSE98783,GPL13912,1610017724989
GSE97931,GPL21185,1610017724989
GSE87900,GPL570,1610017724989
GSE162953,GPL26962,1610017724989
GSE160813,GPL20301,1610017724989
GSE160811,GPL16686,1610017724989
GSE157199,GPL26355,1610017724989
GSE156915,GPL29069,1610017724989
GSE156852,GPL7202,1610017724989
GSE156181,GPL11202,1610017724989
GSE155484,GPL10558,1610017724989
GSE153741,GPL23126,1610017724989
GSE153590,GPL10904,1610017724989
GSE153428,GPL23159,1610017724989
GSE153259,GPL16686,1610017724989
GSE152950,GPL13497,1610017724989
GSE149660,GPL23038,1610017724989
GSE149406,GPL6244,1610017724989
GSE148949,GPL28436,1610017724989
GSE148877,GPL570,1610017724989
GSE148871,GPL570,1610017724989
GSE148810,GPL28426,1610017724989
GSE148167,GPL13912,1610017724989
GSE148070,GPL17586,1610017724989
GSE146587,GPL17077,1610017724989
GSE145821,GPL1261,1610017724989
GSE145374,GPL21185,1610017724989
GSE144811,GPL23038,1610017724989
GSE144665,GPL13534,1610017724989
GSE144516,GPL10558,1610017724989
GSE143884,GPL20084,1610017724989
GSE143368,GPL26164,1610017724989
GSE143289,GPL22388,1610017724989
GSE142693,GPL27956,1610017724989
GSE142552,GPL21185,1610017724989
GSE141829,GPL21810,1610017724989
GSE141824,GPL14746,1610017724989
GSE141819,GPL14746,1610017724989
GSE140949,GPL22782,1610017724989
GSE140531,GPL21827,1610017724989
GSE136570,GPL23126,1610017724989
GSE135467,GPL10558,1610017724989
GSE135401,GPL10558,1610017724989
GSE135109,GPL24539,1610017724989
GSE133860,GPL1261,1610017724989
GSE132661,GPL7202,1610017724989
GSE131435,GPL14797,1610017724989
GSE130809,GPL16043,1610017724989
GSE129171,GPL16686,1610017724989
GSE127702,GPL11202,1610017724989
GSE125547,GPL22321,1610017724989
GSE124347,GPL570,1610017724989
GSE124138,GPL6480,1610017724989
GSE118976,GPL25487,1610017724989
GSE118114,GPL6480,1610017724989
GSE114039,GPL10558,1610017724989
GSE113859,GPL10558,1610017724989
GSE109197,GPL6480,1610017724989
GSE100630,GPL10787,1610017724989
GSE100627,GPL570,1610017724989
GSE98614,GPL6480,1610017724989
GSE64531,GPL13497,1610017724989
GSE52828,GPL570,1610017724989
GSE45117,GPL570,1610017724989
GSE38429,GPL1261,1610017724989
GSE38428,GPL6246,1610017724989
GSE38285,GPL1261,1610017724989
GSE164007,GPL16985,1610017724989
GSE163986,GPL17077,1610017724989
GSE142816,GPL17077,1610017724989
GSE142058,GPL10558,1610017724989
GSE89531,GPL16686,1610017724989
GSE83907,GPL10558,1610017724989
GSE163950,GPL570,1610017724989
GSE163921,GPL16570,1610017724989
GSE163918,GPL21163,1610017724989
GSE157350,GPL28270,1610017724989
GSE151369,GPL21265,1610017724989
GSE151367,GPL21163,1610017724989
GSE149507,GPL23270,1610017724989
GSE143786,GPL28009,1610017724989
GSE139220,GPL22388,1610017724989
GSE75961,GPL570,1610017724989
GSE163887,GPL19964,1610017724989
GSE163881,GPL10904,1610017724989
GSE163880,GPL16570,1610017724989
GSE163828,GPL20258,1610017724989
GSE157604,GPL16570,1610017724989
GSE153524,GPL19924,1610017724989
GSE150562,GPL16570,1610017724989
GSE124119,GPL10787,1610017724989
GSE163754,GPL10740,1610017724989
GSE163753,GPL10740,1610017724989
GSE163735,GPL22755,1610017724989
GSE155070,GPL11202,1610017724989
GSE161478,GPL1261,1610017724989
GSE149557,GPL13497,1610017724989
GSE147472,GPL570,1610017724989
GSE147471,GPL23159,1610017724989
GSE130441,GPL14550,1610017724989
GSE163636,GPL6246,1610017724989
GSE159682,GPL24592,1610017724989
GSE151583,GPL7202,1610017724989
GSE151191,GPL21185,1610017724989
GSE148309,GPL13912,1610017724989
GSE145953,GPL17021,1610017724989
GSE145952,GPL13912,1610017724989
GSE144558,GPL28098,1610017724989
GSE144557,GPL28098,1610017724989
GSE138779,GPL20710,1610017724989
GSE137421,GPL10787,1610017724989
GSE136701,GPL570,1610017724989
GSE163574,GPL15207,1610017724989
GSE161886,GPL21265,1610017724989
GSE161885,GPL21163,1610017724989
GSE159207,GPL8321,1610017724989
GSE158554,GPL10787,1610017724989
GSE150833,GPL21827,1610017724989
GSE142720,GPL15207,1610017724989
GSE124965,GPL6480,1610017724989
GSE155263,GPL96,1610017724989
GSE66307,GPL6246,1610017724989
GSE163488,GPL11202,1610017724989
GSE142408,GPL6244,1610017724989
GSE142407,GPL6244,1610017724989
GSE142406,GPL6244,1610017724989
GSE142283,GPL10332,1610017724989
GSE163420,GPL1261,1610017724989
GSE155148,GPL1261,1610017724989
GSE143739,GPL16570,1610017724989
GSE143738,GPL16570,1610017724989
GSE143733,GPL16570,1610017724989
GSE140688,GPL20775,1610017724989
GSE108737,GPL6246,1610017724989
GSE163352,GPL6244,1610017724989
GSE159854,GPL16570,1610017724989
GSE156274,GPL24989,1610017724989
GSE150051,GPL26355,1610017724989
GSE77481,GPL8321,1610017724989
GSE163261,GPL11202,1610017724989
GSE158940,GPL20844,1610017724989
GSE151146,GPL6246,1610017724989
GSE151145,GPL6246,1610017724989
GSE151144,GPL10787,1610017724989
GSE148009,GPL20266,1610017724989
GSE136741,GPL13607,1610017724989
GSE163187,GPL20844,1610017724989
GSE163154,GPL6104,1610017724989
GSE163130,GPL29499,1610017724989
GSE161435,GPL21825,1610017724989
GSE159656,GPL6246,1610017724989
GSE159116,GPL23126,1610017724989
GSE159093,GPL21185,1610017724989
GSE156233,GPL17077,1610017724989
GSE156225,GPL17077,1610017724989
GSE152575,GPL15207,1610017724989
GSE143742,GPL10558,1610017724989
GSE163096,GPL23038,1610017724989
GSE163091,GPL13667,1610017724989
GSE162628,GPL16686,1610017724989
GSE157345,GPL16686,1610017724989
GSE157342,GPL23038,1610017724989
GSE151335,GPL28589,1610017724989
GSE25555,GPL6947,1610017724989
GSE156188,GPL19271,1610017724989
GSE163063,GPL23126,1610017724989
GSE163046,GPL17692,1610017724989
GSE163042,GPL20844,1610017724989
GSE163032,GPL16476,1610017724989
GSE135466,GPL17586,1610017724989
GSE123745,GPL21282,1610017724989
GSE108299,GPL13912,1610017724989
GSE163002,GPL21185,1610017724989
GSE162981,GPL23159,1610017724989
GSE162190,GPL13667,1610017724989
GSE141804,GPL96,1610017724989
GSE162957,GPL17586,1610017724989
GSE162919,GPL23038,1610017724989
GSE158997,GPL16686,1610017724989
GSE108309,GPL15207,1610017724989
GSE63363,GPL11180,1610017724989
GSE63361,GPL11180,1610017724989
GSE63343,GPL11180,1610017724989
GSE162840,GPL15207,1610017724989
GSE158057,GPL17400,1610017724989
GSE150031,GPL10332,1610017724989
GSE116485,GPL1261,1610017724989
GSE162900,GPL22439,1610017724989
GSE162797,GPL23159,1610017724989
GSE162779,GPL20258,1610017724989
GSE162764,GPL23038,1610017724989
GSE158384,GPL16570,1610017724989
GSE138957,GPL1261,1610017724989
GSE119593,GPL10558,1610017724989
GSE161649,GPL20710,1610017724989
GSE159472,GPL570,1610017724989
GSE151262,GPL17586,1610017724989
