GSE_ID,GPL_ID
GSE135987,GPL22765
GSE136058,GPL13657
GSE136612,GPL18245
GSE136826,GPL22765
GSE136881,GPL25145
GSE137058,GPL25145
GSE137112,GPL13657
GSE137267,GPL18245
GSE137734,GPL13657
GSE137734,GPL18245
GSE137734,GPL19757
GSE137831,GPL19757
GSE138035,GPL18245
GSE138129,GPL18245
GSE138199,GPL18245
GSE138220,GPL19757
GSE138268,GPL22765
GSE138352,GPL25145
GSE125600,GPL19757
GSE125600,GPL26094
GSE125601,GPL19757
GSE125601,GPL26094
GSE138502,GPL22765
GSE139212,GPL22765
GSE121508,GPL13657
GSE121511,GPL13657
GSE139530,GPL18245
GSE139878,GPL18245
GSE139881,GPL18245
GSE139879,GPL18245
GSE139880,GPL18245
GSE140866,GPL18245
GSE141097,GPL22765
GSE126377,GPL18730
GSE141243,GPL19757
GSE141316,GPL13657
GSE133576,GPL18245
GSE141514,GPL18245
GSE141668,GPL13657
GSE143595,GPL13657
GSE143599,GPL27998
GSE143794,GPL18245
GSE143811,GPL27998
GSE143837,GPL18245
GSE143839,GPL18245
GSE143904,GPL25147
GSE144003,GPL22765
GSE144057,GPL22765
GSE144118,GPL18245
GSE144227,GPL24892
GSE144229,GPL24892
GSE144289,GPL18245
GSE144607,GPL13657
GSE144675,GPL25147
GSE144686,GPL13657
GSE145217,GPL19757
GSE145255,GPL18245
GSE145457,GPL13657
GSE145983,GPL19757
GSE146256,GPL13657
GSE146412,GPL22765
GSE146443,GPL18245
GSE146654,GPL13657
GSE146932,GPL22765
GSE146973,GPL15716
GSE147388,GPL18245
GSE147894,GPL18245
GSE146618,GPL19757
GSE148134,GPL15716
GSE148134,GPL19757
GSE148074,GPL19757
GSE148133,GPL15716
GSE148337,GPL18245
GSE149422,GPL18245
GSE149422,GPL26094
GSE55325,GPL13657
GSE55333,GPL13657
GSE55329,GPL13657
GSE55332,GPL13657
GSE150960,GPL19757
GSE151340,GPL19757
GSE151359,GPL26672
GSE151846,GPL25145
GSE151848,GPL19757
GSE151848,GPL25145
GSE151847,GPL19757
GSE151916,GPL19757
GSE153088,GPL22765
GSE153233,GPL18245
GSE154417,GPL13657
GSE154678,GPL18245
GSE56651,GPL15716
GSE155190,GPL18730
GSE156000,GPL13657
GSE156037,GPL19757
GSE156356,GPL19757
GSE158729,GPL18245
GSE158836,GPL15716
GSE57739,GPL13657
GSE57993,GPL18730
GSE58931,GPL13657
GSE59300,GPL13657
GSE59300,GPL9269
GSE59715,GPL13657
GSE59716,GPL13657
GSE59943,GPL13657
GSE59943,GPL9269
GSE60020,GPL13657
GSE60020,GPL15716
GSE60020,GPL18730
GSE60063,GPL13657
GSE60155,GPL13776
GSE60419,GPL13657
GSE60421,GPL13657
GSE60420,GPL13657
GSE60672,GPL18245
GSE60755,GPL13657
GSE70185,GPL13657
GSE61112,GPL13776
GSE61564,GPL13657
GSE61581,GPL13657
GSE62833,GPL13657
GSE62858,GPL18245
GSE63075,GPL13657
GSE63114,GPL13657
GSE63435,GPL13657
GSE63823,GPL13657
GSE64401,GPL13657
GSE64672,GPL13657
GSE64990,GPL15716
GSE65406,GPL13657
GSE65765,GPL19757
GSE65767,GPL19757
GSE66344,GPL15716
GSE66344,GPL18730
GSE66764,GPL13657
GSE67029,GPL13657
GSE67387,GPL19959
GSE67711,GPL13776
GSE68002,GPL15716
GSE68300,GPL13776
GSE68464,GPL9269
GSE68588,GPL19757
GSE68669,GPL13776
GSE68988,GPL15716
GSE68988,GPL18245
GSE69262,GPL13657
GSE69264,GPL13657
GSE69263,GPL13657
GSE69261,GPL13657
GSE70117,GPL18245
GSE72232,GPL18245
GSE72234,GPL18245
GSE72233,GPL18245
GSE72426,GPL13657
GSE72659,GPL13776
GSE72659,GPL19757
GSE72952,GPL13657
GSE74403,GPL13657
GSE74405,GPL13657
GSE74404,GPL13657
GSE75160,GPL18245
GSE75163,GPL18245
GSE75162,GPL18245
GSE75703,GPL13657
GSE76136,GPL13657
GSE76424,GPL18730
GSE76455,GPL18245
GSE76521,GPL13657
GSE76773,GPL13657
GSE76901,GPL18730
GSE76946,GPL13657
GSE77654,GPL18245
GSE77944,GPL18245
GSE78111,GPL13657
GSE78252,GPL18245
GSE78779,GPL18245
GSE78878,GPL15716
GSE78990,GPL18245
GSE79217,GPL21594
GSE89890,GPL18245
GSE79415,GPL13657
GSE79822,GPL13657
GSE80169,GPL13657
GSE80807,GPL18245
GSE81520,GPL13657
GSE81706,GPL19757
GSE81708,GPL19757
GSE81707,GPL19757
GSE83133,GPL18245
GSE83216,GPL18245
GSE83239,GPL13657
GSE83528,GPL13657
GSE83695,GPL13657
GSE83887,GPL13657
GSE85442,GPL13657
GSE85893,GPL13657
GSE86077,GPL13657
GSE86493,GPL13657
GSE86515,GPL13657
GSE86516,GPL13657
GSE87078,GPL18245
GSE87523,GPL18730
GSE87528,GPL18245
GSE89295,GPL18245
GSE89783,GPL9309
GSE90927,GPL13657
GSE91073,GPL19757
GSE92307,GPL13657
GSE92690,GPL13657
GSE92690,GPL18245
GSE92690,GPL22765
GSE92840,GPL19757
GSE92902,GPL13657
GSE93086,GPL13657
GSE93665,GPL19757
GSE93724,GPL19757
GSE93826,GPL18245
GSE94077,GPL18245
GSE94412,GPL13657
GSE94455,GPL18245
GSE94463,GPL18245
GSE94798,GPL18245
GSE94703,GPL19757
GSE94704,GPL19757
GSE94879,GPL18245
GSE95034,GPL13657
GSE95240,GPL19757
GSE96824,GPL18245
GSE97592,GPL18245
GSE97934,GPL22765
GSE97980,GPL19396
GSE98130,GPL18245
GSE98195,GPL18245
GSE98544,GPL22765
GSE98574,GPL13657
GSE98576,GPL19757
GSE98869,GPL19757
GSE98935,GPL18245
GSE99517,GPL23530
GSE100045,GPL19757
GSE100482,GPL13657
GSE100723,GPL18245
GSE101524,GPL18245
GSE98758,GPL18245
GSE101910,GPL13657
GSE101964,GPL18245
GSE102300,GPL22765
GSE102679,GPL18245
GSE102682,GPL18245
GSE103432,GPL13657
GSE103776,GPL18245
GSE104378,GPL18245
GSE104470,GPL18245
GSE104500,GPL18245
GSE104502,GPL15716
GSE104502,GPL18245
GSE104501,GPL15716
GSE105036,GPL18245
GSE106374,GPL13657
GSE106647,GPL18245
GSE106814,GPL18245
GSE106889,GPL18245
GSE107134,GPL19757
GSE123146,GPL19757
GSE107229,GPL18245
GSE107523,GPL13657
GSE107704,GPL13657
GSE108005,GPL13657
GSE108263,GPL22765
GSE108283,GPL13657
GSE109692,GPL18245
GSE110701,GPL18245
GSE110701,GPL19757
GSE110913,GPL13657
GSE110984,GPL19757
GSE111074,GPL19757
GSE111083,GPL13776
GSE111083,GPL18730
GSE111257,GPL13657
GSE111325,GPL13657
GSE111338,GPL18245
GSE111364,GPL13657
GSE111654,GPL13657
GSE111797,GPL13657
GSE111800,GPL18245
GSE111995,GPL18245
GSE112053,GPL19757
GSE112109,GPL19757
GSE112367,GPL19757
GSE112475,GPL13657
GSE112484,GPL19757
GSE112708,GPL13657
GSE112753,GPL18245
GSE112775,GPL18245
GSE112775,GPL22765
GSE112754,GPL22765
GSE112978,GPL18245
GSE112981,GPL18245
GSE113136,GPL24892
GSE113266,GPL22765
GSE113275,GPL22765
GSE113301,GPL13657
GSE113500,GPL22765
GSE113905,GPL13657
GSE114160,GPL19757
GSE114271,GPL22765
GSE129089,GPL22765
GSE114723,GPL13657
GSE114955,GPL22765
GSE115161,GPL18245
GSE115162,GPL18245
GSE115165,GPL24892
GSE115321,GPL18245
GSE115321,GPL25145
GSE115324,GPL18245
GSE115324,GPL25145
GSE115320,GPL18245
GSE115320,GPL25145
GSE115531,GPL24892
GSE115695,GPL18245
GSE115707,GPL13657
GSE115709,GPL13657
GSE115708,GPL13657
GSE115884,GPL18245
GSE115884,GPL19757
GSE115884,GPL22765
GSE115999,GPL18245
GSE116037,GPL18245
GSE115998,GPL18245
GSE116367,GPL18245
GSE116737,GPL13776
GSE116737,GPL15716
GSE117169,GPL18245
GSE117222,GPL18245
GSE117471,GPL18245
GSE117659,GPL18245
GSE117662,GPL18245
GSE117660,GPL18245
GSE117700,GPL25145
GSE117724,GPL25145
GSE118400,GPL22765
GSE118379,GPL18245
GSE118429,GPL18245
GSE118428,GPL18245
GSE119292,GPL19757
GSE119294,GPL19757
GSE119696,GPL18245
GSE119723,GPL18245
GSE119993,GPL18245
GSE120335,GPL22765
GSE120405,GPL18245
GSE120949,GPL13657
GSE121091,GPL13657
GSE121129,GPL18245
GSE121509,GPL13657
GSE121510,GPL13657
GSE121920,GPL13657
GSE122015,GPL18245
GSE122544,GPL18245
GSE122728,GPL18245
GSE122892,GPL25147
GSE122902,GPL22765
GSE122996,GPL18245
GSE123054,GPL24892
GSE123145,GPL19757
GSE123163,GPL13657
GSE123415,GPL22765
GSE123507,GPL25145
GSE123531,GPL13657
GSE123862,GPL18245
GSE123968,GPL22765
GSE124049,GPL18245
GSE124049,GPL19757
GSE124178,GPL13776
GSE124372,GPL22765
GSE124714,GPL13657
GSE124994,GPL18245
GSE125051,GPL18245
GSE125597,GPL19757
GSE125598,GPL26094
GSE125599,GPL19757
GSE125694,GPL22765
GSE125716,GPL18245
GSE125718,GPL18245
GSE126531,GPL13657
GSE126585,GPL18245
GSE126632,GPL18245
GSE127917,GPL18245
GSE126656,GPL18245
GSE128030,GPL18245
GSE128746,GPL18245
GSE128746,GPL22765
GSE128815,GPL22765
GSE128935,GPL18245
GSE128968,GPL19757
GSE129088,GPL22765
GSE129664,GPL22765
GSE129970,GPL13657
GSE130039,GPL13657
GSE130371,GPL13657
GSE130466,GPL13657
GSE130685,GPL19757
GSE130730,GPL19757
GSE130730,GPL22765
GSE130733,GPL19757
GSE130733,GPL22765
GSE130732,GPL19757
GSE130732,GPL22765
GSE130782,GPL18245
GSE130811,GPL18245
GSE130907,GPL25147
GSE130927,GPL18245
GSE130959,GPL25145
GSE131870,GPL18245
GSE132794,GPL18245
GSE132838,GPL18245
GSE132876,GPL13657
GSE132876,GPL18245
GSE132875,GPL13657
GSE133421,GPL18245
GSE128112,GPL19757
GSE134573,GPL19757
GSE134627,GPL18245
GSE134638,GPL18245
GSE134628,GPL18245
GSE134629,GPL18245
GSE134687,GPL18245
GSE134989,GPL18245
