GSE_ID,GPL_ID
GSE21341,GPL10328
GSE136101,GPL27123
GSE136239,GPL27136
GSE136273,GPL24377
GSE136753,GPL27414
GSE131520,GPL24570
GSE136977,GPL25146
GSE137362,GPL21222
GSE137483,GPL21222
GSE138044,GPL18133
GSE138088,GPL21222
GSE140847,GPL21433
GSE141320,GPL21222
GSE144030,GPL21222
GSE141694,GPL14548
GSE141883,GPL18133
GSE142164,GPL25368
GSE142656,GPL16085
GSE142656,GPL21222
GSE142755,GPL18956
GSE143807,GPL21222
GSE143855,GPL24659
GSE143856,GPL24659
GSE144029,GPL21222
GSE144068,GPL21222
GSE144604,GPL21433
GSE144816,GPL21222
GSE145630,GPL18133
GSE146240,GPL14548
GSE146240,GPL28207
GSE147272,GPL21433
GSE147614,GPL16085
GSE148424,GPL26592
GSE148719,GPL21433
GSE149059,GPL21433
GSE149666,GPL21117
GSE54900,GPL17439
GSE150034,GPL21222
GSE55199,GPL15010
GSE55199,GPL17024
GSE151022,GPL26343
GSE151327,GPL21222
GSE151688,GPL18956
GSE152170,GPL28656
GSE152445,GPL18956
GSE152619,GPL18133
GSE152974,GPL21222
GSE153477,GPL18133
GSE56407,GPL10328
GSE56408,GPL10328
GSE56408,GPL14548
GSE56372,GPL14548
GSE154648,GPL20215
GSE152664,GPL14548
GSE157014,GPL14548
GSE157942,GPL21222
GSE158461,GPL14548
GSE158899,GPL29209
GSE51052,GPL15010
GSE51052,GPL15206
GSE164236,GPL17024
GSE164236,GPL24659
GSE58325,GPL15010
GSE58285,GPL14548
GSE58556,GPL18814
GSE58927,GPL14548
GSE58927,GPL18945
GSE59397,GPL14548
GSE59397,GPL18945
GSE59468,GPL18955
GSE59468,GPL18956
GSE59682,GPL14548
GSE59759,GPL18995
GSE59760,GPL18995
GSE60107,GPL14548
GSE60522,GPL18956
GSE61327,GPL17439
GSE61619,GPL15206
GSE62394,GPL14548
GSE62987,GPL14548
GSE62988,GPL14548
GSE62995,GPL17571
GSE62995,GPL20227
GSE63817,GPL18945
GSE63858,GPL17439
GSE64488,GPL18956
GSE64990,GPL16085
GSE65244,GPL14548
GSE65347,GPL19529
GSE65642,GPL16085
GSE65711,GPL16085
GSE66481,GPL16085
GSE66482,GPL16085
GSE66519,GPL19529
GSE66520,GPL19168
GSE66520,GPL19529
GSE66517,GPL19168
GSE67218,GPL17439
GSE67605,GPL17439
GSE67607,GPL17439
GSE67606,GPL17439
GSE68762,GPL20183
GSE69830,GPL20323
GSE69856,GPL15010
GSE70507,GPL18133
GSE72020,GPL17439
GSE72113,GPL15010
GSE72899,GPL18956
GSE73672,GPL20227
GSE73673,GPL20227
GSE73885,GPL20262
GSE73885,GPL21003
GSE73885,GPL21004
GSE73885,GPL21005
GSE73969,GPL21021
GSE74121,GPL14548
GSE74882,GPL17137
GSE74809,GPL15982
GSE75818,GPL14548
GSE75818,GPL21222
GSE76916,GPL15010
GSE77325,GPL14548
GSE77463,GPL21393
GSE78041,GPL21475
GSE78814,GPL21547
GSE79278,GPL19168
GSE80019,GPL19168
GSE80020,GPL19168
GSE80251,GPL21726
GSE80451,GPL14548
GSE31805,GPL15037
GSE31806,GPL15037
GSE82341,GPL18133
GSE33671,GPL10328
GSE82343,GPL21117
GSE83617,GPL14548
GSE84255,GPL22139
GSE84769,GPL22139
GSE85540,GPL18133
GSE85914,GPL18133
GSE35641,GPL14548
GSE35641,GPL15206
GSE35821,GPL15232
GSE35822,GPL15232
GSE86536,GPL18133
GSE87071,GPL14548
GSE87856,GPL14548
GSE88835,GPL18133
GSE88980,GPL17439
GSE88981,GPL17439
GSE89507,GPL22638
GSE90056,GPL15010
GSE90128,GPL19168
GSE90485,GPL21222
GSE90743,GPL18133
GSE91001,GPL14548
GSE91001,GPL20262
GSE92601,GPL18956
GSE93125,GPL18133
GSE94978,GPL14548
GSE94998,GPL19529
GSE94984,GPL23073
GSE95211,GPL21117
GSE95310,GPL14548
GSE95318,GPL18133
GSE95575,GPL15010
GSE96551,GPL14548
GSE96573,GPL21222
GSE41190,GPL16109
GSE97406,GPL16085
GSE97944,GPL15010
GSE40313,GPL15982
GSE98659,GPL18945
GSE98661,GPL14548
GSE98661,GPL18945
GSE98660,GPL14548
GSE100373,GPL14548
GSE102380,GPL15010
GSE102386,GPL15010
GSE102381,GPL15010
GSE102385,GPL15010
GSE102672,GPL23912
GSE98890,GPL18133
GSE103415,GPL18133
GSE103421,GPL10328
GSE103421,GPL15010
GSE103421,GPL17439
GSE103764,GPL24005
GSE103774,GPL17334
GSE103937,GPL24020
GSE41939,GPL16227
GSE41940,GPL16227
GSE104504,GPL21222
GSE104504,GPL21726
GSE104505,GPL21222
GSE104505,GPL21726
GSE105112,GPL14548
GSE105133,GPL24145
GSE106412,GPL20215
GSE106448,GPL20227
GSE106633,GPL21117
GSE107048,GPL18956
GSE107093,GPL18133
GSE107329,GPL14548
GSE107330,GPL14548
GSE107330,GPL21222
GSE107328,GPL21222
GSE107327,GPL21222
GSE108758,GPL16085
GSE108846,GPL16085
GSE109766,GPL21222
GSE109932,GPL24564
GSE110005,GPL24570
GSE110137,GPL20227
GSE110493,GPL14548
GSE110946,GPL21117
GSE111094,GPL24659
GSE111317,GPL24672
GSE111370,GPL18133
GSE111962,GPL21222
GSE112430,GPL18133
GSE112451,GPL24570
GSE112545,GPL21117
GSE112878,GPL21433
GSE113529,GPL18133
GSE114262,GPL18133
GSE114358,GPL18956
GSE114917,GPL17439
GSE115132,GPL24020
GSE115135,GPL24020
GSE115330,GPL25146
GSE116435,GPL18956
GSE116453,GPL25257
GSE100263,GPL14548
GSE117303,GPL25344
GSE117326,GPL25346
GSE117635,GPL19529
GSE117737,GPL21222
GSE117939,GPL21222
GSE44846,GPL16748
GSE44928,GPL16760
GSE119046,GPL18133
GSE119104,GPL18956
GSE120032,GPL21433
GSE120052,GPL16085
GSE45443,GPL15010
GSE121595,GPL15010
GSE121927,GPL21222
GSE122129,GPL14548
GSE122211,GPL17024
GSE122211,GPL17439
GSE122211,GPL18995
GSE122211,GPL25769
GSE122286,GPL21222
GSE122296,GPL16085
GSE122295,GPL21433
GSE122779,GPL24377
GSE122870,GPL21117
GSE122921,GPL18956
GSE122971,GPL25851
GSE122971,GPL25852
GSE123248,GPL24005
GSE123049,GPL24659
GSE123050,GPL24659
GSE123050,GPL26592
GSE46118,GPL17024
GSE46118,GPL17025
GSE46118,GPL17026
GSE46120,GPL17024
GSE46120,GPL17025
GSE46120,GPL17026
GSE123675,GPL18956
GSE123795,GPL21433
GSE123854,GPL25938
GSE46479,GPL14548
GSE46507,GPL15206
GSE124673,GPL17024
GSE119454,GPL21222
GSE125110,GPL21222
GSE125368,GPL15010
GSE46737,GPL17137
