GSE_ID,GPL_ID
GSE49035,GPL16791
GSE49279,GPL11154
GSE47792,GPL11154
GSE50057,GPL17301
GSE50445,GPL15520
GSE51156,GPL11154
GSE51156,GPL14761
GSE51299,GPL16791
GSE51359,GPL9115
GSE51443,GPL11154
GSE51769,GPL15520
GSE52257,GPL11154
GSE52314,GPL10999
GSE52503,GPL11154
GSE52575,GPL11154
GSE52981,GPL15520
GSE53184,GPL9115
GSE53439,GPL9115
GSE53451,GPL11154
GSE54922,GPL15520
GSE56016,GPL11154
GSE56134,GPL10999
GSE56134,GPL18460
GSE56354,GPL9442
GSE56614,GPL16791
GSE57222,GPL16791
GSE57295,GPL10999
GSE57666,GPL9115
GSE57681,GPL15520
GSE57862,GPL11154
GSE57862,GPL15520
GSE57872,GPL16791
GSE58450,GPL11154
GSE58464,GPL17303
GSE58834,GPL11154
GSE38274,GPL11154
GSE59565,GPL11154
GSE60196,GPL16791
GSE60292,GPL17301
GSE60529,GPL11154
GSE61123,GPL11154
GSE61770,GPL11154
GSE61856,GPL11154
GSE61979,GPL15520
GSE62187,GPL15520
GSE64297,GPL10999
GSE64644,GPL16791
GSE64744,GPL18573
GSE65923,GPL11154
GSE67115,GPL11154
GSE68085,GPL10999
GSE68244,GPL11154
GSE68253,GPL11154
GSE68353,GPL17301
GSE68596,GPL16791
GSE69192,GPL11154
GSE69837,GPL15520
GSE70580,GPL11154
GSE71191,GPL11154
GSE71279,GPL11154
GSE71536,GPL15520
GSE72721,GPL11154
GSE73065,GPL15456
GSE73136,GPL11154
GSE73625,GPL11154
GSE73866,GPL11154
GSE74070,GPL11154
GSE74162,GPL15433
GSE74186,GPL15520
GSE75305,GPL10999
GSE75473,GPL15520
GSE75140,GPL16791
GSE75659,GPL11154
GSE75748,GPL16791
GSE76193,GPL16791
GSE76312,GPL11154
GSE76312,GPL20301
GSE76457,GPL10999
GSE76676,GPL15520
GSE76735,GPL17301
GSE76913,GPL15520
GSE77027,GPL16791
GSE77318,GPL17301
GSE77564,GPL16791
GSE77920,GPL16791
GSE79392,GPL20301
GSE79424,GPL15520
GSE79442,GPL15520
GSE80274,GPL15456
GSE80389,GPL15520
GSE80730,GPL11154
GSE80771,GPL15520
GSE80772,GPL15520
GSE81216,GPL17301
GSE81254,GPL15520
GSE81271,GPL16791
GSE81287,GPL11154
GSE81475,GPL11154
GSE81608,GPL16791
GSE81712,GPL11154
GSE81547,GPL18573
GSE81982,GPL16791
GSE82226,GPL21978
GSE82232,GPL11154
GSE83669,GPL15520
GSE83780,GPL15520
GSE84536,GPL15520
GSE84537,GPL15520
GSE84537,GPL16791
GSE84465,GPL18573
GSE84913,GPL15520
GSE85048,GPL15520
GSE85142,GPL15520
GSE78709,GPL15520
GSE85299,GPL15520
GSE85361,GPL15520
GSE97957,GPL16791
GSE85984,GPL16791
GSE85988,GPL18573
GSE86006,GPL16791
GSE86014,GPL11154
GSE86178,GPL11154
GSE86213,GPL16791
GSE86344,GPL15520
GSE86504,GPL20301
GSE86563,GPL11154
GSE86618,GPL18573
GSE86644,GPL18573
GSE86646,GPL18573
GSE74250,GPL11154
GSE74250,GPL15520
GSE74250,GPL20301
GSE86846,GPL11154
GSE86894,GPL16791
GSE87018,GPL16791
GSE87080,GPL11154
GSE87087,GPL11154
GSE87115,GPL16791
GSE87167,GPL16791
GSE87225,GPL15520
GSE87226,GPL15520
GSE87310,GPL16791
GSE87318,GPL11154
GSE87358,GPL11154
GSE87372,GPL22483
GSE87419,GPL11154
GSE87419,GPL18573
GSE87516,GPL16791
GSE87558,GPL16791
GSE87559,GPL16791
GSE87660,GPL17303
GSE87660,GPL20301
GSE87665,GPL17303
GSE87679,GPL16791
GSE87708,GPL16791
GSE87711,GPL16791
GSE87725,GPL16791
GSE87767,GPL15520
GSE88731,GPL20301
GSE88733,GPL11154
GSE87849,GPL20301
GSE88965,GPL11154
GSE89065,GPL16791
GSE89164,GPL18573
GSE89164,GPL19415
GSE89187,GPL18460
GSE89230,GPL11154
GSE79136,GPL17303
GSE79136,GPL18573
GSE89322,GPL18573
GSE89393,GPL17303
GSE89403,GPL11154
GSE89497,GPL20301
GSE89569,GPL18573
GSE89597,GPL15520
GSE89667,GPL16791
GSE89787,GPL20301
GSE89790,GPL15520
GSE89796,GPL11154
GSE89866,GPL16791
GSE89868,GPL11154
GSE89943,GPL18573
GSE89950,GPL11154
GSE89974,GPL11154
GSE89980,GPL11154
GSE89991,GPL11154
GSE90028,GPL11154
GSE90035,GPL18573
GSE90469,GPL11154
GSE90469,GPL20301
GSE90502,GPL11154
GSE90649,GPL11154
GSE90650,GPL20301
GSE90813,GPL16791
GSE90861,GPL18573
GSE90914,GPL11154
GSE90950,GPL11154
GSE90966,GPL15520
GSE91089,GPL11154
GSE91385,GPL19367
GSE92243,GPL11154
