GSE_ID,GPL_ID,SRR_ID
GSE40890,GPL11002,SRR570445 SRR570446 SRR570447
GSE40896,GPL11002,SRR572709 SRR572711
GSE40984,GPL11002,SRR574022
GSE40984,GPL13112,SRR574023
GSE41286,GPL13112,SRR578776 SRR578777
GSE41287,GPL9185,SRR580952 SRR580953 SRR580954
GSE41543,GPL13112,SRR597735 SRR597736
GSE41792,GPL11002,SRR606313 SRR606314
GSE41977,GPL13112,SRR610457 SRR610458
GSE42154,GPL13112,SRR612133 SRR612134 SRR612135
GSE42443,GPL13112,SRR619312 SRR619313
GSE42564,GPL16331,SRR621445 SRR621446
GSE43078,GPL16417,SRR639080 SRR639081
GSE43110,GPL13112,SRR639332 SRR639333
GSE43153,GPL13112,SRR640602 SRR640603 SRR640604 SRR640605 SRR640606 SRR640607 SRR640612 SRR640614 SRR640615
GSE43351,GPL9185,SRR646476 SRR646477
GSE43617,GPL13112,SRR650660 SRR650661
GSE43725,GPL13112,SRR653312 SRR653313 SRR653314
GSE43916,GPL15103,SRR653912 SRR653913 SRR653914 SRR653915 SRR653916 SRR653917 SRR653918 SRR653919 SRR653920 SRR653921 SRR653922 SRR653923 SRR653924 SRR653925
GSE43986,GPL13112,SRR658524 SRR658525
GSE44156,GPL9250,SRR685339 SRR685340
GSE44333,GPL9250,SRR725546 SRR725547
GSE44367,GPL9250,SRR729317
GSE44935,GPL16417,SRR768610 SRR768611 SRR768612 SRR768613 SRR768614
GSE44945,GPL13112,SRR769314 SRR769315 SRR769316
GSE44690,GPL9250,SRR772028 SRR772031 SRR772032 SRR772033 SRR772046 SRR772047 SRR772048 SRR772053 SRR772054 SRR772055 SRR772068
GSE45119,GPL13112,SRR770735 SRR770736
GSE45499,GPL9273,SRR797046 SRR797047
GSE45503,GPL13112,SRR797053
