GSE_ID,GPL_ID
GSE136387,GPL18694
GSE136659,GPL18694
GSE136670,GPL18694
GSE137118,GPL18694
GSE137217,GPL22396
GSE137326,GPL24688
GSE137473,GPL20084
GSE137473,GPL22396
GSE137568,GPL18694
GSE137641,GPL18694
GSE137643,GPL18694
GSE137988,GPL22396
GSE138275,GPL22396
GSE138472,GPL18694
GSE138624,GPL22396
GSE138637,GPL18404
GSE138966,GPL22396
GSE139147,GPL25947
GSE139321,GPL25947
GSE139318,GPL20084
GSE139561,GPL18694
GSE139953,GPL22396
GSE140146,GPL22396
GSE140162,GPL11282
GSE140287,GPL14844
GSE140599,GPL14844
GSE140298,GPL22396
GSE140420,GPL19482
GSE140420,GPL27757
GSE140598,GPL14844
GSE140597,GPL14844
GSE142087,GPL11282
GSE142364,GPL20084
GSE142366,GPL20084
GSE142476,GPL18694
GSE142478,GPL18694
GSE142541,GPL25947
GSE142617,GPL22396
GSE143327,GPL24688
GSE143751,GPL19052
GSE143895,GPL23945
GSE144027,GPL22396
GSE144276,GPL14844
GSE144548,GPL24688
GSE144606,GPL20084
GSE144219,GPL18694
GSE144974,GPL18694
GSE145167,GPL20084
GSE145431,GPL14844
GSE145504,GPL23945
GSE145882,GPL25947
GSE146493,GPL18694
GSE146891,GPL11282
GSE146976,GPL18694
GSE147073,GPL20084
GSE147072,GPL18694
GSE147248,GPL23945
GSE147379,GPL20084
GSE147402,GPL22396
GSE147432,GPL20084
GSE147578,GPL20084
GSE147663,GPL20084
GSE147945,GPL18694
GSE148007,GPL25947
GSE148151,GPL19482
GSE148255,GPL18694
GSE148266,GPL18694
GSE148453,GPL28374
GSE148559,GPL11282
GSE149072,GPL18694
GSE149317,GPL24688
GSE149364,GPL18694
GSE149498,GPL11282
GSE149713,GPL14844
GSE149828,GPL18694
GSE150841,GPL23945
GSE151209,GPL14844
GSE151477,GPL23945
GSE151971,GPL18694
GSE152250,GPL22396
GSE153017,GPL22396
GSE153217,GPL22396
GSE153275,GPL25029
GSE153278,GPL24688
GSE153296,GPL18694
GSE153296,GPL24688
GSE153294,GPL18694
GSE153409,GPL25029
GSE153604,GPL14844
GSE153638,GPL14844
GSE153763,GPL25947
GSE154098,GPL24688
GSE154274,GPL18694
GSE154533,GPL25029
GSE155059,GPL14844
GSE155230,GPL18694
GSE155393,GPL18694
GSE155709,GPL18694
GSE155743,GPL14844
GSE155768,GPL22396
GSE149540,GPL22396
GSE156999,GPL14844
GSE157348,GPL25947
GSE157487,GPL18404
GSE157491,GPL23945
GSE157736,GPL20084
GSE71612,GPL14844
GSE101112,GPL18694
GSE109041,GPL20084
GSE125277,GPL20084
GSE109973,GPL18694
GSE114609,GPL19052
GSE115315,GPL18694
GSE116663,GPL22396
GSE117679,GPL18694
GSE117198,GPL25338
GSE118323,GPL22396
GSE118559,GPL20084
GSE119435,GPL20084
GSE121109,GPL18694
GSE121924,GPL22396
GSE122044,GPL14844
GSE122044,GPL18694
GSE122792,GPL24782
GSE123542,GPL24688
GSE123598,GPL18694
GSE124002,GPL24688
GSE124109,GPL18694
GSE124332,GPL20084
GSE124592,GPL18694
GSE124833,GPL18694
GSE125276,GPL20084
GSE125298,GPL22396
GSE125483,GPL18694
GSE126023,GPL22396
GSE127000,GPL18694
GSE127229,GPL18694
GSE127230,GPL18694
GSE128136,GPL18694
GSE128136,GPL22396
GSE128824,GPL20084
GSE129399,GPL22396
GSE129525,GPL22396
GSE129539,GPL14844
GSE129694,GPL20084
GSE129814,GPL18694
GSE130276,GPL22396
GSE130434,GPL23945
GSE130436,GPL23945
GSE130651,GPL22396
GSE130796,GPL18694
GSE130797,GPL18694
GSE131289,GPL14844
GSE131544,GPL18694
GSE131544,GPL22396
GSE131704,GPL25029
GSE131750,GPL20084
GSE131975,GPL22396
GSE132491,GPL22396
GSE132815,GPL20084
GSE133093,GPL20084
GSE133157,GPL14844
GSE133293,GPL20084
GSE133402,GPL22396
GSE133750,GPL24688
GSE133951,GPL20084
GSE134203,GPL20084
GSE134272,GPL14844
GSE134309,GPL25947
GSE134340,GPL20084
GSE134569,GPL25947
GSE134715,GPL23945
GSE134765,GPL22396
GSE134706,GPL20084
GSE134707,GPL20084
GSE134705,GPL20084
GSE134804,GPL22396
GSE134935,GPL14844
GSE135061,GPL18694
GSE135073,GPL22396
GSE135388,GPL20084
GSE135611,GPL14844
GSE135700,GPL25947
